title,authors,year,abstract,ss_id
Evaluating Embedding APIs for Information Retrieval,"[{'name': 'Ehsan Kamalloo', 'dblp_profile': 'https://dblp.org/pid/61/7404.html'}, {'name': 'Xinyu Zhang', 'dblp_profile': 'https://dblp.org/pid/58/4582.html'}, {'name': 'Odunayo Ogundepo', 'dblp_profile': 'https://dblp.org/pid/299/8249.html'}, {'name': 'Nandan Thakur', 'dblp_profile': 'https://dblp.org/pid/276/6898.html'}, {'name': 'David Alfonso-Hermelo', 'dblp_profile': 'https://dblp.org/pid/241/1750.html'}, {'name': 'Mehdi Rezagholizadeh', 'dblp_profile': 'https://dblp.org/pid/134/0625.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}]",2023,"The ever-increasing size of language models curtails their widespread access to the community, thereby galvanizing many companies and startups into offering access to large language models through APIs. One particular API, suitable for dense retrieval, is the semantic embedding API that builds vector representations of a given text. With a growing number of APIs at our disposal, in this paper, our goal is to analyze semantic embedding APIs in realistic retrieval scenarios in order to assist practitioners and researchers in finding suitable services according to their needs. Specifically, we wish to investigate the capabilities of existing APIs on domain generalization and multilingual retrieval. For this purpose, we evaluate the embedding APIs on two standard benchmarks, BEIR, and MIRACL. We find that re-ranking BM25 results using the APIs is a budget-friendly approach and is most effective on English, in contrast to the standard practice, i.e., employing them as first-stage retrievers. For non-English retrieval, re-ranking still improves the results, but a hybrid model with BM25 works best albeit at a higher cost. We hope our work lays the groundwork for thoroughly evaluating APIs that are critical in search and more broadly, in information retrieval.",3a14af18549daee147c6c747592be314418eeac3
GAIA Search: Hugging Face and Pyserini Interoperability for NLP Training Data Exploration,"[{'name': 'Aleksandra Piktus', 'dblp_profile': 'https://dblp.org/pid/241/7090.html'}, {'name': 'Odunayo Ogundepo', 'dblp_profile': 'https://dblp.org/pid/299/8249.html'}, {'name': 'Christopher Akiki', 'dblp_profile': 'https://dblp.org/pid/277/0703.html'}, {'name': 'Akintunde Oladipo', 'dblp_profile': 'https://dblp.org/pid/341/4148.html'}, {'name': 'Xinyu Zhang', 'dblp_profile': 'https://dblp.org/pid/58/4582.html'}, {'name': 'Hailey Schoelkopf', 'dblp_profile': 'https://dblp.org/pid/323/1550.html'}, {'name': 'Stella Biderman', 'dblp_profile': 'https://dblp.org/pid/239/5641.html'}, {'name': 'Martin Potthast', 'dblp_profile': 'https://dblp.org/pid/87/6573.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}]",2023,"Noticing the urgent need to provide tools for fast and user-friendly qualitative analysis of large-scale textual corpora of the modern NLP, we propose to turn to the mature and well-tested methods from the domain of Information Retrieval (IR) - a research field with a long history of tackling TB-scale document collections. We discuss how Pyserini - a widely used toolkit for reproducible IR research can be integrated with the Hugging Face ecosystem of open-source AI libraries and artifacts. We leverage the existing functionalities of both platforms while proposing novel features further facilitating their integration. Our goal is to give NLP researchers tools that will allow them to develop retrieval-based instrumentation for their data analytics needs with ease and agility.We include a Jupyter Notebook-based walk through the core interoperability features, available on GitHub: https://github.com/huggingface/gaia.We then demonstrate how the ideas we present can be operationalized to create a powerful tool for qualitative data analysis in NLP. We present GAIA Search - a search engine built following previously laid out principles, giving access to four popular large-scale text collections. GAIA serves a dual purpose of illustrating the potential of methodologies we discuss but also as a standalone qualitative analysis tool that can be leveraged by NLP researchers aiming to understand datasets prior to using them in training. GAIA is hosted live on Hugging Face Spaces: https://huggingface.co/spaces/spacerini/gaia.",751563cf0c32fe4dfa43d3416c916f8eb053e5f3
Precise Zero-Shot Dense Retrieval without Relevance Labels,"[{'name': 'Luyu Gao', 'dblp_profile': 'https://dblp.org/pid/213/8857.html'}, {'name': 'Xueguang Ma', 'dblp_profile': 'https://dblp.org/pid/44/9030.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}, {'name': 'Jamie Callan', 'dblp_profile': 'https://dblp.org/pid/c/JamesPCallan.html'}]",2023,"While dense retrieval has been shown to be effective and efficient across tasks and languages, it remains difficult to create effective fully zero-shot dense retrieval systems when no relevance labels are available. In this paper, we recognize the difficulty of zero-shot learning and encoding relevance. Instead, we propose to pivot through Hypothetical Document Embeddings (HyDE). Given a query, HyDE first zero-shot prompts an instruction-following language model (e.g., InstructGPT) to generate a hypothetical document. The document captures relevance patterns but is “fake” and may contain hallucinations. Then, an unsupervised contrastively learned encoder (e.g., Contriever) encodes the document into an embedding vector. This vector identifies a neighborhood in the corpus embedding space, from which similar real documents are retrieved based on vector similarity. This second step grounds the generated document to the actual corpus, with the encoder’s dense bottleneck filtering out the hallucinations. Our experiments show that HyDE significantly outperforms the state-of-the-art unsupervised dense retriever Contriever and shows strong performance comparable to fine-tuned retrievers across various tasks (e.g. web search, QA, fact verification) and in non-English languages (e.g., sw, ko, ja, bn).",5c32c653735b43a0a8923ca65ac191bd4bf15311
Operator Selection and Ordering in a Pipeline Approach to Efficiency Optimizations for Transformers,"[{'name': 'Ji Xin', 'dblp_profile': 'https://dblp.org/pid/218/7227.html'}, {'name': 'Raphael Tang', 'dblp_profile': 'https://dblp.org/pid/207/7684.html'}, {'name': 'Zhiying Jiang', 'dblp_profile': 'https://dblp.org/pid/21/1662.html'}, {'name': 'Yaoliang Yu', 'dblp_profile': 'https://dblp.org/pid/90/4989.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}]",2023,,aed940439307c975a0e3eca18c40c6f18c4903f6
What the DAAM: Interpreting Stable Diffusion Using Cross Attention,"[{'name': 'Raphael Tang', 'dblp_profile': 'https://dblp.org/pid/207/7684.html'}, {'name': 'Linqing Liu', 'dblp_profile': 'https://dblp.org/pid/36/7028.html'}, {'name': 'Akshat Pandey', 'dblp_profile': 'https://dblp.org/pid/263/3240.html'}, {'name': 'Zhiying Jiang', 'dblp_profile': 'https://dblp.org/pid/21/1662.html'}, {'name': 'Gefei Yang', 'dblp_profile': 'https://dblp.org/pid/229/5810.html'}, {'name': 'Karun Kumar', 'dblp_profile': 'https://dblp.org/pid/305/6007.html'}, {'name': 'Pontus Stenetorp', 'dblp_profile': 'https://dblp.org/pid/44/8358.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}, {'name': 'Ferhan Ture', 'dblp_profile': 'https://dblp.org/pid/02/4537.html'}]",2023,"Diffusion models are a milestone in text-to-image generation, but they remain poorly understood, lacking interpretability analyses. In this paper, we perform a text-image attribution analysis on Stable Diffusion, a recently open-sourced model. To produce attribution maps, we upscale and aggregate cross-attention maps in the denoising module, naming our method DAAM. We validate it by testing its segmentation ability on nouns, as well as its generalized attribution quality on all parts of speech, rated by humans. On two generated datasets, we attain a competitive 58.8-64.8 mIoU on noun segmentation and fair to good mean opinion scores (3.4-4.2) on generalized attribution. Then, we apply DAAM to study the role of syntax in the pixel space across head–dependent heat map interaction patterns for ten common dependency relations. We show that, for some relations, the head map consistently subsumes the dependent, while the opposite is true for others. Finally, we study several semantic phenomena, focusing on feature entanglement; we find that the presence of cohyponyms worsens generation quality by 9%, and descriptive adjectives attend too broadly. We are the first to interpret large diffusion models from a visuolinguistic perspective, which enables future research. Our code is at https://github.com/castorini/daam.",37d626720f5003373336098ce7c01a1a38e6b63d
"""Low-Resource"" Text Classification: A Parameter-Free Classification Method with Compressors","[{'name': 'Zhiying Jiang', 'dblp_profile': 'https://dblp.org/pid/21/1662.html'}, {'name': 'Matthew Y. R. Yang', 'dblp_profile': 'https://dblp.org/pid/322/0271.html'}, {'name': 'Mikhail Tsirlin', 'dblp_profile': 'https://dblp.org/pid/336/6084.html'}, {'name': 'Raphael Tang', 'dblp_profile': 'https://dblp.org/pid/207/7684.html'}, {'name': 'Yiqin Dai', 'dblp_profile': 'https://dblp.org/pid/225/0795.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}]",2023,,147af99d852c516e16d90b128504a43c82ceffb8
CITADEL: Conditional Token Interaction via Dynamic Lexical Routing for Efficient and Effective Multi-Vector Retrieval,"[{'name': 'Minghan Li', 'dblp_profile': 'https://dblp.org/pid/214/2450.html'}, {'name': 'Sheng-Chieh Lin', 'dblp_profile': 'https://dblp.org/pid/61/10361.html'}, {'name': 'Barlas Oguz', 'dblp_profile': 'https://dblp.org/pid/69/9892.html'}, {'name': 'Asish Ghoshal', 'dblp_profile': 'https://dblp.org/pid/35/10890.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}, {'name': 'Yashar Mehdad', 'dblp_profile': 'https://dblp.org/pid/28/7560.html'}, {'name': 'Wen-tau Yih', 'dblp_profile': 'https://dblp.org/pid/07/7129.html'}, {'name': 'Xilun Chen', 'dblp_profile': 'https://dblp.org/pid/96/10207-2.html'}]",2023,"Multi-vector retrieval methods combine the merits of sparse (e.g. BM25) and dense (e.g. DPR) retrievers and have achieved state-of-the-art performance on various retrieval tasks.These methods, however, are orders of magnitude slower and need much more space to store their indices compared to their single-vector counterparts.In this paper, we unify different multi-vector retrieval models from a token routing viewpoint and propose conditional token interaction via dynamic lexical routing, namely CITADEL, for efficient and effective multi-vector retrieval.CITADEL learns to route different token vectors to the predicted lexical keys such that a query token vector only interacts with document token vectors routed to the same key.This design significantly reduces the computation cost while maintaining high accuracy.Notably, CITADEL achieves the same or slightly better performance than the previous state of the art, ColBERT-v2, on both in-domain (MS MARCO) and out-of-domain (BEIR) evaluations, while being nearly 40 times faster. Source code and data are available at https://github.com/facebookresearch/dpr-scale/tree/citadel.",741a5536c2e58e1595e7396345f1e5d40a3aa775
Answer Retrieval for Math Questions Using Structural and Dense Retrieval,"[{'name': 'Wei Zhong', 'dblp_profile': 'https://dblp.org/pid/60/1416.html'}, {'name': 'Yuqing Xie', 'dblp_profile': 'https://dblp.org/pid/236/4350-1.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}]",2023,,1296b4f809e11eea701d40552d1920536efa78fc
PyGaggle: A Gaggle of Resources for Open-Domain Question Answering,"[{'name': 'Ronak Pradeep', 'dblp_profile': 'https://dblp.org/pid/270/1757.html'}, {'name': 'Haonan Chen', 'dblp_profile': 'https://dblp.org/pid/121/7527.html'}, {'name': 'Lingwei Gu', 'dblp_profile': 'https://dblp.org/pid/342/6327.html'}, {'name': 'Manveer Singh Tamber', 'dblp_profile': 'https://dblp.org/pid/314/0617.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}]",2023,,6a0c18aa1bf69798b15ef2355d5256ae8fa80186
Pre-processing Matters! Improved Wikipedia Corpora for Open-Domain Question Answering,"[{'name': 'Manveer Singh Tamber', 'dblp_profile': 'https://dblp.org/pid/314/0617.html'}, {'name': 'Ronak Pradeep', 'dblp_profile': 'https://dblp.org/pid/270/1757.html'}, {'name': 'Jimmy Lin', 'dblp_profile': 'https://dblp.org/pid/00/7739'}]",2023,,532a24fbf508c40234e9126c7a3f80dd92e8545f
