title,authors,year,abstract,ss_id
How to Represent Part-Whole Hierarchies in a Neural Network,"[{'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2023,"Abstract This article does not describe a working system. Instead, it presents a single idea about representation that allows advances made by several different groups to be combined into an imaginary system called GLOM.1 The advances include transformers, neural fields, contrastive representation learning, distillation, and capsules. GLOM answers the question: How can a neural network with a fixed architecture parse an image into a part-whole hierarchy that has a different structure for each image? The idea is simply to use islands of identical vectors to represent the nodes in the parse tree. If GLOM can be made to work, it should significantly improve the interpretability of the representations produced by transformer-like systems when applied to vision or language.",5cee90b85b88e4de1d51b2963613a48b68916ac7
Analog Bits: Generating Discrete Data using Diffusion Models with Self-Conditioning,"[{'name': 'Ting Chen', 'dblp_profile': 'https://dblp.org/pid/19/1766.html'}, {'name': 'Ruixiang Zhang', 'dblp_profile': 'https://dblp.org/pid/20/9860.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2023,"We present Bit Diffusion: a simple and generic approach for generating discrete data with continuous state and continuous time diffusion models. The main idea behind our approach is to first represent the discrete data as binary bits, and then train a continuous diffusion model to model these bits as real numbers which we call analog bits. To generate samples, the model first generates the analog bits, which are then thresholded to obtain the bits that represent the discrete variables. We further propose two simple techniques, namely Self-Conditioning and Asymmetric Time Intervals, which lead to a significant improvement in sample quality. Despite its simplicity, the proposed approach can achieve strong performance in both discrete image generation and image captioning tasks. For discrete image generation, we significantly improve previous state-of-the-art on both CIFAR-10 (which has 3K discrete 8-bit tokens) and ImageNet-64x64 (which has 12K discrete 8-bit tokens), outperforming the best autoregressive model in both sample quality (measured by FID) and efficiency. For image captioning on MS-COCO dataset, our approach achieves competitive results compared to autoregressive models.",b64537bdf7a103aa01972ba06ea24a9c08f7cd74
Scaling Forward Gradient With Local Losses,"[{'name': 'Mengye Ren', 'dblp_profile': 'https://dblp.org/pid/163/1952.html'}, {'name': 'Simon Kornblith', 'dblp_profile': 'https://dblp.org/pid/220/4059.html'}, {'name': 'Renjie Liao', 'dblp_profile': 'https://dblp.org/pid/08/8180.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2023,"Forward gradient learning computes a noisy directional gradient and is a biologically plausible alternative to backprop for learning deep neural networks. However, the standard forward gradient algorithm, when applied naively, suffers from high variance when the number of parameters to be learned is large. In this paper, we propose a series of architectural and algorithmic modifications that together make forward gradient learning practical for standard deep learning benchmark tasks. We show that it is possible to substantially reduce the variance of the forward gradient estimator by applying perturbations to activations rather than weights. We further improve the scalability of forward gradient by introducing a large number of local greedy loss functions, each of which involves only a small number of learnable parameters, and a new MLPMixer-inspired architecture, LocalMixer, that is more suitable for local learning. Our approach matches backprop on MNIST and CIFAR-10 and significantly outperforms previously proposed backprop-free algorithms on ImageNet.",7a31b37b4844653e084ff096f1ec5861b95389a9
Meta-Learning Fast Weight Language Models,"[{'name': 'Kevin Clark', 'dblp_profile': 'https://dblp.org/pid/78/6661.html'}, {'name': 'Kelvin Guu', 'dblp_profile': 'https://dblp.org/pid/164/5838.html'}, {'name': 'Ming-Wei Chang', 'dblp_profile': 'https://dblp.org/pid/69/4618.html'}, {'name': 'Panupong Pasupat', 'dblp_profile': 'https://dblp.org/pid/124/9178.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}, {'name': 'Mohammad Norouzi', 'dblp_profile': 'https://dblp.org/pid/12/7659-2.html'}]",2022,"Dynamic evaluation of language models (LMs) adapts model parameters at test time using gradient information from previous tokens and substantially improves LM performance. However, it requires over 3x more compute than standard inference. We present Fast Weight Layers (FWLs), a neural component that provides the benefits of dynamic evaluation much more efficiently by expressing gradient updates as linear attention. A key improvement over dynamic evaluation is that FWLs can also be applied at training time, so the model learns to make good use of gradient updates. FWLs can easily be added on top of existing transformer models, require relatively little extra compute or memory to run, and significantly improve language modeling perplexity.",37ba9c33025fb31f25436010e12c65a0bafc0e1f
Pix2seq: A Language Modeling Framework for Object Detection,"[{'name': 'Ting Chen', 'dblp_profile': 'https://dblp.org/pid/19/1766-7.html'}, {'name': 'Saurabh Saxena', 'dblp_profile': 'https://dblp.org/pid/15/8791.html'}, {'name': 'Lala Li', 'dblp_profile': 'https://dblp.org/pid/49/7563.html'}, {'name': 'David J. Fleet', 'dblp_profile': 'https://dblp.org/pid/07/2099.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2022,"We present Pix2Seq, a simple and generic framework for object detection. Unlike existing approaches that explicitly integrate prior knowledge about the task, we cast object detection as a language modeling task conditioned on the observed pixel inputs. Object descriptions (e.g., bounding boxes and class labels) are expressed as sequences of discrete tokens, and we train a neural network to perceive the image and generate the desired sequence. Our approach is based mainly on the intuition that if a neural network knows about where and what the objects are, we just need to teach it how to read them out. Beyond the use of task-specific data augmentations, our approach makes minimal assumptions about the task, yet it achieves competitive results on the challenging COCO dataset, compared to highly specialized and well optimized detection algorithms.",19b3b074d38b250d024920732ae51a8ffa0996dd
A Unified Sequence Interface for Vision Tasks,"[{'name': 'Ting Chen', 'dblp_profile': 'https://dblp.org/pid/19/1766-7.html'}, {'name': 'Saurabh Saxena', 'dblp_profile': 'https://dblp.org/pid/15/8791.html'}, {'name': 'Lala Li', 'dblp_profile': 'https://dblp.org/pid/49/7563.html'}, {'name': 'Tsung-Yi Lin', 'dblp_profile': 'https://dblp.org/pid/47/8105.html'}, {'name': 'David J. Fleet', 'dblp_profile': 'https://dblp.org/pid/07/2099.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2022,"While language tasks are naturally expressed in a single, unified, modeling framework, i.e., generating sequences of tokens, this has not been the case in computer vision. As a result, there is a proliferation of distinct architectures and loss functions for different vision tasks. In this work we show that a diverse set of""core""computer vision tasks can also be unified if formulated in terms of a shared pixel-to-sequence interface. We focus on four tasks, namely, object detection, instance segmentation, keypoint detection, and image captioning, all with diverse types of outputs, e.g., bounding boxes or dense masks. Despite that, by formulating the output of each task as a sequence of discrete tokens with a unified interface, we show that one can train a neural network with a single model architecture and loss function on all these tasks, with no task-specific customization. To solve a specific task, we use a short prompt as task description, and the sequence output adapts to the prompt so it can produce task-specific output. We show that such a model can achieve competitive performance compared to well-established task-specific models.",06761cb27e14aa55a6c3d98b949898aa26416698
Robust and Efficient Medical Imaging with Self-Supervision,"[{'name': 'Shekoofeh Azizi', 'dblp_profile': 'https://dblp.org/pid/143/1915.html'}, {'name': 'Laura Culp', 'dblp_profile': 'https://dblp.org/pid/320/7722.html'}, {'name': 'Jan Freyberg', 'dblp_profile': 'https://dblp.org/pid/262/3737.html'}, {'name': 'Basil Mustafa', 'dblp_profile': 'https://dblp.org/pid/223/4558.html'}, {'name': 'Sebastien Baur', 'dblp_profile': 'https://dblp.org/pid/280/3074.html'}, {'name': 'Simon Kornblith', 'dblp_profile': 'https://dblp.org/pid/220/4059.html'}, {'name': 'Ting Chen', 'dblp_profile': 'https://dblp.org/pid/19/1766.html'}, {'name': 'Patricia MacWilliams', 'dblp_profile': 'https://dblp.org/pid/270/0345.html'}, {'name': 'S. Sara Mahdavi', 'dblp_profile': 'https://dblp.org/pid/320/7735.html'}, {'name': 'Ellery Wulczyn', 'dblp_profile': 'https://dblp.org/pid/61/11517.html'}, {'name': 'Boris Babenko', 'dblp_profile': 'https://dblp.org/pid/65/2779.html'}, {'name': 'Megan Wilson', 'dblp_profile': 'https://dblp.org/pid/270/1815.html'}, {'name': 'Aaron Loh', 'dblp_profile': 'https://dblp.org/pid/271/6996.html'}, {'name': 'Po-Hsuan Cameron Chen', 'dblp_profile': 'https://dblp.org/pid/232/1634.html'}, {'name': 'Yuan Liu', 'dblp_profile': 'https://dblp.org/pid/87/2948.html'}, {'name': 'Pinal Bavishi', 'dblp_profile': 'https://dblp.org/pid/228/8547.html'}, {'name': 'Scott Mayer McKinney', 'dblp_profile': 'https://dblp.org/pid/284/0700.html'}, {'name': 'Jim Winkens', 'dblp_profile': 'https://dblp.org/pid/222/1966.html'}, {'name': 'Abhijit Guha Roy', 'dblp_profile': 'https://dblp.org/pid/165/7906.html'}, {'name': 'Zachary Beaver', 'dblp_profile': 'https://dblp.org/pid/283/7401.html'}, {'name': 'Fiona Ryan', 'dblp_profile': 'https://dblp.org/pid/283/7526.html'}, {'name': 'Justin Krogue', 'dblp_profile': 'https://dblp.org/pid/248/8224.html'}, {'name': 'Mozziyar Etemadi', 'dblp_profile': 'https://dblp.org/pid/70/432.html'}, {'name': 'Umesh Telang', 'dblp_profile': 'https://dblp.org/pid/284/0751.html'}, {'name': 'Yun Liu', 'dblp_profile': 'https://dblp.org/pid/50/2482-13.html'}, {'name': 'Lily Peng', 'dblp_profile': 'https://dblp.org/pid/198/1261.html'}, {'name': 'Gregory S. Corrado', 'dblp_profile': 'https://dblp.org/pid/05/8414.html'}, {'name': 'Dale R. Webster', 'dblp_profile': 'https://dblp.org/pid/205/2994.html'}, {'name': 'David J. Fleet', 'dblp_profile': 'https://dblp.org/pid/07/2099.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}, {'name': 'Neil Houlsby', 'dblp_profile': 'https://dblp.org/pid/91/10669.html'}, {'name': 'Alan Karthikesalingam', 'dblp_profile': 'https://dblp.org/pid/205/1826.html'}, {'name': 'Mohammad Norouzi', 'dblp_profile': 'https://dblp.org/pid/12/7659-2.html'}, {'name': 'Vivek Natarajan', 'dblp_profile': 'https://dblp.org/pid/51/11047.html'}]",2022,"Recent progress in Medical Artificial Intelligence (AI) has delivered systems that can reach clinical expert level performance. However, such systems tend to demonstrate sub-optimal""out-of-distribution""performance when evaluated in clinical settings different from the training environment. A common mitigation strategy is to develop separate systems for each clinical setting using site-specific data [1]. However, this quickly becomes impractical as medical data is time-consuming to acquire and expensive to annotate [2]. Thus, the problem of""data-efficient generalization""presents an ongoing difficulty for Medical AI development. Although progress in representation learning shows promise, their benefits have not been rigorously studied, specifically for out-of-distribution settings. To meet these challenges, we present REMEDIS, a unified representation learning strategy to improve robustness and data-efficiency of medical imaging AI. REMEDIS uses a generic combination of large-scale supervised transfer learning with self-supervised learning and requires little task-specific customization. We study a diverse range of medical imaging tasks and simulate three realistic application scenarios using retrospective data. REMEDIS exhibits significantly improved in-distribution performance with up to 11.5% relative improvement in diagnostic accuracy over a strong supervised baseline. More importantly, our strategy leads to strong data-efficient generalization of medical imaging AI, matching strong supervised baselines using between 1% to 33% of retraining data across tasks. These results suggest that REMEDIS can significantly accelerate the life-cycle of medical imaging AI development thereby presenting an important step forward for medical imaging AI to deliver broad impact.",fa499cccb093dcb61ba5a270c5afaefc2502a241
A Unified Sequence Interface for Vision Tasks,"[{'name': 'Ting Chen', 'dblp_profile': 'https://dblp.org/pid/19/1766-7.html'}, {'name': 'Saurabh Saxena', 'dblp_profile': 'https://dblp.org/pid/15/8791.html'}, {'name': 'Lala Li', 'dblp_profile': 'https://dblp.org/pid/49/7563.html'}, {'name': 'Tsung-Yi Lin', 'dblp_profile': 'https://dblp.org/pid/47/8105.html'}, {'name': 'David J. Fleet', 'dblp_profile': 'https://dblp.org/pid/07/2099.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2022,"While language tasks are naturally expressed in a single, unified, modeling framework, i.e., generating sequences of tokens, this has not been the case in computer vision. As a result, there is a proliferation of distinct architectures and loss functions for different vision tasks. In this work we show that a diverse set of""core""computer vision tasks can also be unified if formulated in terms of a shared pixel-to-sequence interface. We focus on four tasks, namely, object detection, instance segmentation, keypoint detection, and image captioning, all with diverse types of outputs, e.g., bounding boxes or dense masks. Despite that, by formulating the output of each task as a sequence of discrete tokens with a unified interface, we show that one can train a neural network with a single model architecture and loss function on all these tasks, with no task-specific customization. To solve a specific task, we use a short prompt as task description, and the sequence output adapts to the prompt so it can produce task-specific output. We show that such a model can achieve competitive performance compared to well-established task-specific models.",06761cb27e14aa55a6c3d98b949898aa26416698
Analog Bits: Generating Discrete Data using Diffusion Models with Self-Conditioning,"[{'name': 'Ting Chen', 'dblp_profile': 'https://dblp.org/pid/19/1766.html'}, {'name': 'Ruixiang Zhang', 'dblp_profile': 'https://dblp.org/pid/20/9860.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2022,"We present Bit Diffusion: a simple and generic approach for generating discrete data with continuous state and continuous time diffusion models. The main idea behind our approach is to first represent the discrete data as binary bits, and then train a continuous diffusion model to model these bits as real numbers which we call analog bits. To generate samples, the model first generates the analog bits, which are then thresholded to obtain the bits that represent the discrete variables. We further propose two simple techniques, namely Self-Conditioning and Asymmetric Time Intervals, which lead to a significant improvement in sample quality. Despite its simplicity, the proposed approach can achieve strong performance in both discrete image generation and image captioning tasks. For discrete image generation, we significantly improve previous state-of-the-art on both CIFAR-10 (which has 3K discrete 8-bit tokens) and ImageNet-64x64 (which has 12K discrete 8-bit tokens), outperforming the best autoregressive model in both sample quality (measured by FID) and efficiency. For image captioning on MS-COCO dataset, our approach achieves competitive results compared to autoregressive models.",b64537bdf7a103aa01972ba06ea24a9c08f7cd74
Scaling Forward Gradient With Local Losses,"[{'name': 'Mengye Ren', 'dblp_profile': 'https://dblp.org/pid/163/1952.html'}, {'name': 'Simon Kornblith', 'dblp_profile': 'https://dblp.org/pid/220/4059.html'}, {'name': 'Renjie Liao', 'dblp_profile': 'https://dblp.org/pid/08/8180.html'}, {'name': 'Geoffrey E. Hinton', 'dblp_profile': 'https://dblp.org/pid/10/3248'}]",2022,"Forward gradient learning computes a noisy directional gradient and is a biologically plausible alternative to backprop for learning deep neural networks. However, the standard forward gradient algorithm, when applied naively, suffers from high variance when the number of parameters to be learned is large. In this paper, we propose a series of architectural and algorithmic modifications that together make forward gradient learning practical for standard deep learning benchmark tasks. We show that it is possible to substantially reduce the variance of the forward gradient estimator by applying perturbations to activations rather than weights. We further improve the scalability of forward gradient by introducing a large number of local greedy loss functions, each of which involves only a small number of learnable parameters, and a new MLPMixer-inspired architecture, LocalMixer, that is more suitable for local learning. Our approach matches backprop on MNIST and CIFAR-10 and significantly outperforms previously proposed backprop-free algorithms on ImageNet.",7a31b37b4844653e084ff096f1ec5861b95389a9
