title,authors,year,abstract,ss_id
Connectivity,"[{'name': 'Robert Melancton Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}]",2023,"The most important new fact about the human condition is that we are now suddenly connected. When I say “suddenly” I refer to the Internet’s birthday, October 29, 1969 and how two thirds of the human race, five billion people, are already on the Internet, in only 50 years. Suddenly. The Arpanet started the Internet in 1969 by networking time-shared minicomputers serving dumb character terminals. Then in 1973 Xerox Palo Alto Research Center (PARC) decided to put a personal computer on every desk. Ethernet was invented on May 22, 1973 to provide local connectivity among those PCs, one on every desk, if you can imagine that. The PARC Ethernet was formed by combining Jerrold coaxial vampire taps, Manchester on-off keying, and Alohanet randomized retransmissions. Then we wrapped it in internet protocols according to a layered reference model. Then we standardized it all: Ethernet, IP, TCP, TELNET, FTP, Mail, URL, HTML, HTTP. Ethernet evolved rapidly away from its Jerrold-Manchester-Alohanet prototype. Ethernet’s legacy is instead packets to the desktop, abundance of bandwidth, and standardization. Come hear all about it. GPT is writing my lecture now.",7d6b229d69225d1878e7c2783d2476ca44aabf20
Ethervation: Innovation of and on the Ethernet platform,"[{'name': 'Bob Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}]",2015,"Innovation sometimes advances in leaps and bounds when robust “platforms” appear. Ethernet's story going back 42 years involves two robust platforms: CMOS according to Moore's Law and TCP/IP/Ethernet according to, well OK yes, Metcalfe's Law. Ethernet began as a Local Computer Network (later LAN) in 1973. Back then it ran at 2.94Mbps and coaxially connected PCs in a building. Now it runs up to 100Gbps in the LAN, has returned to its Alohanet wireless roots as Wi-Fi, and is moving down to serve the coming Internet of Things. Ethernet platform innovation is paced by semiconductors. But then there are the many innovations that have taken place on top of the evolving Ethernet platform. The TCP/IP/Ethernet Internet has gone web, video, mobile, social, cloud, embedded - from mainframes to minicomputers to workstations to PCs to cellphones to things. Some of this innovation can be attributed to the venerable Ethernet business model, which is based on packet switching, de jure standards (IEEE), owned implementations, fierce competition, interoperability, rapid evolution, backward compatibility, build it and they will come. Ethernet is the answer; what is the question?",2afb618616578f9b5ebf54be4b1bd8fcb9f9dcd0
Metcalfe's Law after 40 Years of Ethernet,"[{'name': 'Bob Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}]",2013,"Critics have declared Metcalfe's law, which states that the value of a network grows as the square of the number of its users, a gross overestimation of the network effect, but nobody has tested th...",567f9f87e8e16a1521600e1b9c0160591afb103a
Innovation and Obstacles: The Future of Computing,"[{'name': 'David D. Clark', 'dblp_profile': 'https://dblp.org/pid/c/DavidDClark.html'}, {'name': 'Edward A. Feigenbaum', 'dblp_profile': 'https://dblp.org/pid/f/EdwardAFeigenbaum.html'}, {'name': 'Donald P. Greenberg', 'dblp_profile': 'https://dblp.org/pid/g/DonaldPGreenberg.html'}, {'name': 'Juris Hartmanis', 'dblp_profile': 'https://dblp.org/pid/84/5656.html'}, {'name': 'Robert W. Lucky', 'dblp_profile': 'https://dblp.org/pid/41/4364.html'}, {'name': 'Robert Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}, {'name': 'Raj Reddy', 'dblp_profile': 'https://dblp.org/pid/r/RajReddy.html'}, {'name': 'Mary Shaw', 'dblp_profile': 'https://dblp.org/pid/93/5634.html'}, {'name': 'William A. Wulf', 'dblp_profile': 'https://dblp.org/pid/w/WilliamAWulf.html'}]",1998,"In this multidisciplinary glimpse forward, some of this decade's key players offer opinions on a range of topics- from what has driven progress, to where innovation will come from and to obstacles we have yet to overcome. In this excerpt from ""Visions for the Future of the Fields,"" a panel discussion held at the 10th anniversary of the US Computer Science and Telecommunications Board, experts identify critical issues for various aspects of computing. In the accompanying sidebars, some of the same experts elaborate on points in the panel discussion in mini-essays: David Clark, CSTB chairman, looks at the changes needed, as computing science research comes of age. The current context of computer science, Clark states, is shaped by past successes and chronic trouble spots. Mary Shaw, Carnegie Mellon University, examines challenges for software system designers. Shaw states that disintermediation-the direct connection of users and their software-has created new problems for software system designers. Robert Lucky, Bellcore, looks at IP dial tone, a new infrastructure for the Internet. Lucky states that data traffic will soon eclipse voice traffic, portending not just a revolution in technology but in the very basis of telecommunications economics. Donald Greenberg, Cornell University, rounds out the essays with an outlook on computer graphics. Greenberg states that by 2025 we will have the technology to produce realistic real-time images at resolutions up to or beyond the limits of our visual perception.Finally, in an interview with William Wulf, president of the US National Academy of Engineering, Computer explores the roots of innovation and the broader societal aspects that will ultimately drive innovation in the near term.",e18e3cedbbbfbf371e5564b14b74506adda68b17
"What's Wrong with the Internet (It's the Economy, ...), Interview","[{'name': 'Robert Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}]",1997,,
Panel 3 How Should Information be Priced? Winning Strategies for the Digital Economy,"[{'name': 'Yannis Bakos', 'dblp_profile': 'https://dblp.org/pid/60/205.html'}, {'name': 'Erik Brynjolfsson', 'dblp_profile': 'https://dblp.org/pid/b/EBrynjolfsson.html'}, {'name': 'Bob Massey', 'dblp_profile': 'https://dblp.org/pid/37/11137.html'}, {'name': 'Bob Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}, {'name': 'Hal R. Varian', 'dblp_profile': 'https://dblp.org/pid/45/1733.html'}]",1996,,b44298254d3e0da04e41c3658d2fd16973380a70
Computer/Network Interface Design: Lessons from Arpanet and Ethernet,"[{'name': 'Robert Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}]",1993,"The author's involvement in developing Arpanet and Ethernet computer network interfaces is described. The lessons learned in designing and implementing Arpanet in 1969 and Ethernet in 1989 are discussed. It is argued that some of the more general lessons are likely to be applicable to interfaces operating on up to a terabit, petabit, or perhaps even an exabit per second. >",f2f9a1f2a3e58e50a7017d0dda6d6a4f5f39f29b
Ethernet: Distributed Packet Switching for Local Computer Networks (Reprint),"[{'name': 'Robert Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}, {'name': 'David R. Boggs', 'dblp_profile': 'https://dblp.org/pid/98/5887.html'}]",1983,,
Local Networking of Personal Computers,"[{'name': 'Robert Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}]",1983,,1909f0dea588307f41244c3f285a022dc402984e
Pup: An Internetwork Architecture,"[{'name': 'David R. Boggs', 'dblp_profile': 'https://dblp.org/pid/98/5887.html'}, {'name': 'John F. Shoch', 'dblp_profile': 'https://dblp.org/pid/73/6993.html'}, {'name': 'Edward A. Taft', 'dblp_profile': 'https://dblp.org/pid/52/147.html'}, {'name': 'Robert M. Metcalfe', 'dblp_profile': 'https://dblp.org/pid/69/829'}]",1980,"Pup is the name of an internet packet format (PARC Universal Packet), a hierarchy of protocols, and a style of internetwork communication. The fundamental abstraction is an end-to-end media-in dependent internetwork datagram. Higher levels of functionality are achieved by end-to-end protocols that are strictly a matter of agreement among the communicating end processes. This report explores important design issues, sets forth principles that have guided the Pup design, discusses the present implementation in moderate detail, and summarizes experience with an operational internetwork. This work serves as the basis for a functioning internetwork system that provides service to about 1000 computers, on 25 networks of 5 different types, using 20 internetwork gateways.",741882d8dfa32605b10187709d219f43f662c3e5
