name,year,google_scholar_profile_quality,category,review_requested,reason,acm_fellow_profile,google_scholar_profile,dblp_profile,acm_citation,scholar_name,scholar_affiliation,sample_publications,dblp_title_matches,evidence_title,evidence_authors,supporting_source,reviewed_at,scholar_fetched_at,acm_fetched_at,scholar_capture_sha256,previous_quality,previous_category,previous_reason,adjacent_sample_lower_bound,reassessment_basis
Adam Wierman,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/wierman_3144364,https://scholar.google.com/citations?user=4OvOdSgAAAAJ,https://dblp.org/pid/56/4447,"For contributions to online algorithms, scheduling theory, and applications to sustainable computing.",Adam Wierman,"Carl F Braun Professor of Computing+Mathematical Sciences, Caltech",20,18,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:16:02Z,2026-09-13T15:04:27Z,90f587cd1d20a4ca8fd1bab14ffd3572bdc41588217b95892758dc51e1e323a2,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Aggelos Kiayias,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/kiayias_5240130,https://scholar.google.com/citations?user=P_L_vZAAAAAJ,https://dblp.org/pid/47/3682,For contributions to the principles and practice of cyber security and cryptography,Aggelos Kiayias,"School of Informatics, University of Edinburgh, & IOG",20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:16:07Z,2026-09-13T15:07:02Z,24da4ba8eeb5b3c6d0da608ca61dea57f98a5c7653b67a59c314e33a1dc2d275,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Alessandro Orso,2025,Y,mostly_adjacent_with_retained_concern,N,"At least 19/20 sampled publications are relevant or reasonably adjacent to the ACM-grounded identity. Y under the user's tolerant majority rule; the earlier isolated attribution concern is retained as evidence, not a reason to reject the profile.",https://awards.acm.org/award-recipients/orso_4953717,https://scholar.google.com/citations?user=wCfYkMkAAAAJ,https://dblp.org/pid/35/805,For contributions in developing novel and impactful techniques for software testing and debugging,Alessandro (Alex) Orso,"Dean of Engineering and Professor of CS and ECE, University of Georgia",20,19,{Dependence-Preserving} data compaction for scalable forensic analysis,"MN Hossain, J Wang, R Sekar, SD Stoller",,2026-09-17T21:21:43-04:00,2026-09-16T18:16:13Z,2026-09-13T15:07:28Z,13550d15e57077abb3a70f78b33a28850106add5c8f010b665692bb99ce1caf6,N,provisional_attribution_concern,"The selected publication is credited to other authors in the captured profile, without an evident Fellow contribution. Provisional N pending verification of full credits, contributor roles and merged versions.",19,The prior ACM-grounded identity and topic review is supported by a majority of captured titles matching the reviewed DBLP bibliography; isolated anomalies do not lower profile-level quality.
Alistair M Moffat,2025,Y,mostly_adjacent_with_retained_concern,N,"At least 19/20 sampled publications are relevant or reasonably adjacent to the ACM-grounded identity. Y under the user's tolerant majority rule; the earlier isolated attribution concern is retained as evidence, not a reason to reject the profile.",https://awards.acm.org/award-recipients/moffat_1885573,https://scholar.google.com/citations?user=r3xSME0AAAAJ,https://dblp.org/pid/m/AlistairMoffat,For contributions to the implementation and evaluation of search engines.,Alistair Moffat,"School of Computing and Information Systems, The University of Melbourne",20,19,Monolingual and cross-lingual information retrieval models based on (bilingual) word embeddings,"I Vulić, MF Moens",,2026-09-17T21:21:43-04:00,2026-09-16T18:16:20Z,2026-09-13T15:10:57Z,1df7ad0f3e397bc3e2d08ec9b18f21e42fc979964804cfaa9566c6fd9699ee1b,N,provisional_attribution_concern,"The selected publication is credited to other authors in the captured profile, without an evident Fellow contribution. Provisional N pending verification of full credits, contributor roles and merged versions.",19,The prior ACM-grounded identity and topic review is supported by a majority of captured titles matching the reviewed DBLP bibliography; isolated anomalies do not lower profile-level quality.
Angela Bonifati,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/bonifati_4027339,https://scholar.google.com/citations?user=0RdtBlUAAAAJ,https://dblp.org/pid/b/ABonifati,For contributions to the foundations of graph databases and data integration.,Angela Bonifati,"Distinguished Professor of Computer Science, Lyon 1 University, Senior Member of the French IUF",20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:16:27Z,2026-09-13T15:14:02Z,7a242f36f98c52fa18253e6233b64e6eedff9163eff79ecf9e5a30fa694759cb,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Antonio Torralba,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/torralba_2191086,https://scholar.google.com/citations?user=8cxDHS4AAAAJ,https://dblp.org/pid/t/AntonioBTorralba,"For contributions to computer vision, including novel datasets, scene recognition and context understanding.",Antonio Torralba,"Professor of Computer Science, MIT",20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:20:22Z,2026-09-13T15:19:49Z,ce2f4be5d86520ec9c08ced59fd79f256ceb2abb224205ca83ce0d9378ccd4fa,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Ariel Procaccia,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/procaccia_1176772,https://scholar.google.com/citations?user=8ZpV-lkAAAAJ,https://dblp.org/pid/p/ArielDProcaccia,"For contributions to AI, algorithms, and society, including foundational work and practical impact.",Ariel Procaccia,"Alfred and Rebecca Lin Professor of Computer Science, Harvard University",20,20,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:20:29Z,2026-09-13T15:23:50.255352+00:00,e54b2c135ea124cea4af38e1b5e9cbb8ba76df452fe3725013225e37fdd76ef5,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Athina Markopoulou,2025,N,missing_profile,N,No Scholar link is stored; N follows the user decision and does not imply a mixed profile or that no public profile exists.,https://awards.acm.org/award-recipients/markopoulou_1561968,,https://dblp.org/pid/82/5866,For contributions to internet measurement and privacy enhancing technologies.,,,0,0,,,,2026-09-17T21:17:16-04:00,,2026-09-13T15:23:57.134990+00:00,,N,missing_profile,No Scholar link is stored; N follows the user decision and does not imply a mixed profile or that no public profile exists.,,
Baoquan Chen,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/chen_C102676,https://scholar.google.com/citations?user=iHWtrEAAAAAJ,https://dblp.org/pid/23/4197,"For contributions to large-scale scene reconstruction, discrete geometry processing, and shape design for manufacturing",Baoquan Chen,"Peking University, ACM/IEEE Fellow",20,19,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:20:34Z,2026-09-13T15:24:03.823598+00:00,a0ce67242ba1d59cc0076d6fad9f5f7208dfcbb3819079184b9d2f19a463849e,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
Cristina Conati,2025,Y,reasonable_sample,N,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,https://awards.acm.org/award-recipients/conati_CR39233,https://scholar.google.com/citations?user=Ytp9oFQAAAAJ,https://dblp.org/pid/34/5056,For contributions to research in Human-AI interaction and AI-driven personalization,Cristina Conati,"Professor of Computer Science, University of British Columbia",20,16,,,,2026-09-17T21:17:16-04:00,2026-09-16T18:20:41Z,2026-09-13T15:24:10.653576+00:00,6482047b9dd552191f933fff207fcd65ed4966b930edee9383e9ff01654551ca,Y,reasonable_sample,Identity supported by the prior ACM-grounded audit; no convincing attribution conflict found in the captured publication sample after screening and candidate review.,,
