roster,row_index,name,award_year,service,acm_profile,acm_evidence_url,acm_evidence_time,acm_award_country,reviewed_at,prior_link,accepted_link,prior_quality,accepted_quality,prior_date,accepted_date,evidence_mode,identity_finding,review_status,availability,fetch_outcome,evidence_time,capture_sha256,capture_path,final_url,institution_country_evidence,publication_count,count_basis,sample_count,sample_scope,representative_publications,coverage_finding,contamination_finding,rationale,search_queries,search_outcome,candidate,review_question,action,additional_sources
turing_award_winners.csv,1,"Bennett, Charles Henry",2025,scholar,https://awards.acm.org/award-recipients/bennett_1202470,https://amturing.acm.org/award_winners/bennett_1202470.cfm,2026-09-13T23:35:46Z,USA,2026-09-18T19:32:58.722129+00:00,https://scholar.google.com/citations?user=mkjGmJEAAAAJ,https://scholar.google.com/citations?user=mkjGmJEAAAAJ,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported_sample,available at retained capture only; not freshly checked,retained success,2026-09-17T02:05:29Z,61af5299c5ea6752dc59761948ac02439763ff305cc63697fb9398ee4d2274aa,,https://scholar.google.com/citations?user=mkjGmJEAAAAJ,"Fellow, IBM Research Division; ACM award country USA; affiliations describe the capture, not necessarily award year.",20,lower bound from captured first page; not total profile size,20,all 20 captured most-cited entries; broader coverage and recent-work assessment unresolved,Teleporting an unknown quantum state via dual classical and Einstein-Podolsky-Rosen channels | Quantum cryptography: Public key distribution and coin tossing | Communication via one-and two-particle operators on Einstein-Podolsky-Rosen states | Mixed-state entanglement and quantum error correction,multiple central works represented in sample; full bibliography and recent-work coverage unresolved,no substantial unrelated cluster in the inspected sample,"IBM quantum information identity supported by teleportation, quantum cryptography with Brassard, reversible computation and chemical-physics free-energy work. DBLP 32 records cover the computing portion, rather than all physics work.",,,,,retain,
turing_award_winners.csv,1,"Bennett, Charles Henry",2025,dblp,https://awards.acm.org/award-recipients/bennett_1202470,https://amturing.acm.org/award_winners/bennett_1202470.cfm,2026-09-13T23:35:46Z,USA,2026-09-18T19:32:58.722129+00:00,https://dblp.org/pid/71/210,https://dblp.org/pid/71/210,Y,Y,2026-09-18,2026-09-18,existing captures; general web discovery,supported,supported,available at retained capture only; not freshly checked,ok,2026-09-18T00:35:26Z,0b758cc87e1dd23bc3d6c565d637d33dccaa22b3bbe407bb85b63e34f0951541,bigcows-crawler/.cache/dblp-missing-web-2026-09-17-203211/safari/captures/de91b122806b8b1de63bd5216275e4462f528314207988f982843f7c48cc271b-1789691726907703000.html,https://dblp.org/pid/71/210.html,"id=""profile""> Person information ",32,records in complete retained bibliography; versions/reprints may repeat works,12,"12 chronological samples spanning newest, middle and oldest work; years 1981–2014","Quantum Cryptography II: How to re-use a one-time pad safely even if P=NP. | On the security of key distribution based on Johnson-Nyquist noise. | How to Reduce Your Enemy's Information (Extended Abstract). | Relative to a Random Oracle A, P A != NP A != co-NP A with Probability 1.",meaningful career-spanning body of recognized or adjacent work in retained bibliography,no substantial unrelated cluster in inspected records,"IBM quantum information identity supported by teleportation, quantum cryptography with Brassard, reversible computation and chemical-physics free-energy work. DBLP 32 records cover the computing portion, rather than all physics work.",,,,,retain,
turing_award_winners.csv,1,"Bennett, Charles Henry",2025,csrankings,https://awards.acm.org/award-recipients/bennett_1202470,https://amturing.acm.org/award_winners/bennett_1202470.cfm,2026-09-13T23:35:46Z,USA,2026-09-18T19:32:58.722129+00:00,,,,,,,existing captures; general web discovery,missing,missing,missing association; not evidence of upstream withdrawal,,,,,,,not applicable,not applicable,not applicable,,,not applicable,not applicable,"IBM quantum information identity supported by teleportation, quantum cryptography with Brassard, reversible computation and chemical-physics free-energy work. DBLP 32 records cover the computing portion, rather than all physics work.","[{""query"": ""Charles Henry Bennett IBM CSRankings faculty profile"", ""log"": ""search-0.json""}]",No supported exact key found in selected 26 source shards or saved candidates; general web search did not establish an original source row.,,,leave blank,
turing_award_winners.csv,2,"Brassard, Gilles",2025,scholar,https://awards.acm.org/award-recipients/brassard_UJ34503,https://amturing.acm.org/award_winners/brassard_uj34503.cfm,2026-09-13T23:35:53Z,Canada,2026-09-18T19:32:58.722129+00:00,https://scholar.google.com/citations?user=Rh7_srgAAAAJ,https://scholar.google.com/citations?user=Rh7_srgAAAAJ,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported_sample,available at retained capture only; not freshly checked,retained success,2026-09-17T02:05:35Z,3e4fe557021dfd3616cb398b2b87fbeee160671d7edb29f0c4aafabe9473029f,,https://scholar.google.com/citations?user=Rh7_srgAAAAJ,"Professor of computer science, Université de Montréal; ACM award country Canada; affiliations describe the capture, not necessarily award year.",20,lower bound from captured first page; not total profile size,20,all 20 captured most-cited entries; broader coverage and recent-work assessment unresolved,Teleporting an unknown quantum state via dual classical and Einstein-Podolsky-Rosen channels | Quantum cryptography: Public key distribution and coin tossing | Purification of noisy entanglement and faithful teleportation via noisy channels | Quantum cryptography without Bell’s theorem,multiple central works represented in sample; full bibliography and recent-work coverage unresolved,no substantial unrelated cluster in the inspected sample,"Montreal affiliation, quantum cryptography with Bennett, quantum algorithms and information complexity converge. Fake-news work has Aimeur collaboration and matching computational context; no material unrelated cluster. CS exact key and Scholar ID converge.",,,,,retain,
turing_award_winners.csv,2,"Brassard, Gilles",2025,dblp,https://awards.acm.org/award-recipients/brassard_UJ34503,https://amturing.acm.org/award_winners/brassard_uj34503.cfm,2026-09-13T23:35:53Z,Canada,2026-09-18T19:32:58.722129+00:00,https://dblp.org/pid/b/GBrassard,https://dblp.org/pid/b/GBrassard,Y,Y,2026-09-18,2026-09-18,existing captures; general web discovery,supported,supported,available at retained capture only; not freshly checked,ok,2026-09-18T00:35:33Z,8d7dfe1f75ca2ce0f969413fc6590b55c76306717e449432aa50210aa0ddc890,bigcows-crawler/.cache/dblp-missing-web-2026-09-17-203211/safari/captures/9111cf99d765b2bd88696fb07ee2107f7625c2f7b26c2569b010b6866eaefd60-1789691733814053000.html,https://dblp.org/pid/b/GBrassard.html,"id=""profile""> Person information affiliation: Université de Montréal, Canada <div style=""clear:",136,records in complete retained bibliography; versions/reprints may repeat works,12,"12 chronological samples spanning newest, middle and oldest work; years 1979–2026",CoALFake: Collaborative Active Learning with Human-LLM Co-Annotation for Cross-Domain Fake News Detection. | Remote Sampling with Applications to General Entanglement Simulation. | Crusade for a better notation. | Relativized Cryptography.,meaningful career-spanning body of recognized or adjacent work in retained bibliography,no substantial unrelated cluster in inspected records,"Montreal affiliation, quantum cryptography with Bennett, quantum algorithms and information complexity converge. Fake-news work has Aimeur collaboration and matching computational context; no material unrelated cluster. CS exact key and Scholar ID converge.",,,,,retain,
turing_award_winners.csv,2,"Brassard, Gilles",2025,csrankings,https://awards.acm.org/award-recipients/brassard_UJ34503,https://amturing.acm.org/award_winners/brassard_uj34503.cfm,2026-09-13T23:35:53Z,Canada,2026-09-18T19:32:58.722129+00:00,Gilles Brassard,Gilles Brassard,,,2026-09-18,2026-09-18,existing captures; general web discovery,supported,supported,present in selected source snapshot; live inclusion not checked,retained source row matches all five original fields,2026-09-18 source snapshot,f4c6e8aa85516d720c01f1f716d22de0e6a82592654ebd331c1acf551111db3c,bigcows-crawler/.cache/csrankings/csrankings-g.csv,,University of Montreal; homepage https://en.wikipedia.org/wiki/Gilles_Brassard; compared with ACM country Canada and publication identity.,not applicable,not applicable,not applicable,,,not applicable,not applicable,"Montreal affiliation, quantum cryptography with Bennett, quantum algorithms and information complexity converge. Fake-news work has Aimeur collaboration and matching computational context; no material unrelated cluster. CS exact key and Scholar ID converge. Generated DBLP link https://dblp.org/pers/hd/b/Brassard:Gilles has no retained resolved-destination capture in this review; its destination remains unverified and was not used as independent identity proof.",,,,,revalidate exact source key; alignment date remains 2026-09-18,https://en.wikipedia.org/wiki/Gilles_Brassard
turing_award_winners.csv,3,"Barto, Andrew",2024,scholar,https://awards.acm.org/award-recipients/barto_9471663,https://awards.acm.org/award-recipients/barto_9471663,2026-09-13T23:35:58Z,USA,2026-09-18T19:32:58.722129+00:00,https://scholar.google.com/citations?user=CMIgrCgAAAAJ,https://scholar.google.com/citations?user=CMIgrCgAAAAJ,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported_sample,available at retained capture only; not freshly checked,retained success,2026-09-17T02:05:41Z,20e408bd48ea23fd56493679122b869c623476631f118102ac6597f5bba485f4,,https://scholar.google.com/citations?user=CMIgrCgAAAAJ,"University of Massachusetts Amherst; ACM award country USA; affiliations describe the capture, not necessarily award year.",20,lower bound from captured first page; not total profile size,20,all 20 captured most-cited entries; broader coverage and recent-work assessment unresolved,Reinforcement learning: An introduction | Introduction to reinforcement learning | Neuronlike adaptive elements that can solve difficult learning control problems | Recent advances in hierarchical reinforcement learning,multiple central works represented in sample; full bibliography and recent-work coverage unresolved,no substantial unrelated cluster in the inspected sample,"UMass reinforcement learning, Sutton collaboration, adaptive control and cerebellar learning form a coherent machine/animal learning career.",,,,,retain,
turing_award_winners.csv,3,"Barto, Andrew",2024,dblp,https://awards.acm.org/award-recipients/barto_9471663,https://awards.acm.org/award-recipients/barto_9471663,2026-09-13T23:35:58Z,USA,2026-09-18T19:32:58.722129+00:00,https://dblp.org/pid/a/AndrewGBarto,https://dblp.org/pid/a/AndrewGBarto,Y,Y,2026-09-18,2026-09-18,existing captures; general web discovery,supported,supported,available at retained capture only; not freshly checked,ok,2026-09-18T00:35:41Z,5dcddc7b236691c996e00240366e38ff47472e4ac9d59f983109c7d6402a51e6,bigcows-crawler/.cache/dblp-missing-web-2026-09-17-203211/safari/captures/cc0a6e39d62fb72b9a8b4e719717235314b8ba2d10fc3e28091f9d0e7a724423-1789691741909955000.html,https://dblp.org/pid/a/AndrewGBarto.html,"id=""profile""> Person information affiliation: University of Massachusetts Amherst, Department of Computer Science, MA, USA award (2024): Turing Award ",111,records in complete retained bibliography; versions/reprints may repeat works,12,"12 chronological samples spanning newest, middle and oldest work; years 1975–2025",Rediscovering Reinforcement Learning. | Commentary on Utility and Bounds. | Linear systems analysis of the relationship between firing of deep cerebellar neurons and the classically conditioned nictitating membrane response in rabbits. | Cellular Automata As Models Of Natural Systems.,meaningful career-spanning body of recognized or adjacent work in retained bibliography,no substantial unrelated cluster in inspected records,"UMass reinforcement learning, Sutton collaboration, adaptive control and cerebellar learning form a coherent machine/animal learning career.",,,,,retain,
turing_award_winners.csv,3,"Barto, Andrew",2024,csrankings,https://awards.acm.org/award-recipients/barto_9471663,https://awards.acm.org/award-recipients/barto_9471663,2026-09-13T23:35:58Z,USA,2026-09-18T19:32:58.722129+00:00,,,,,,,existing captures; general web discovery,missing,missing,missing association; not evidence of upstream withdrawal,,,,,,,not applicable,not applicable,not applicable,,,not applicable,not applicable,"UMass reinforcement learning, Sutton collaboration, adaptive control and cerebellar learning form a coherent machine/animal learning career.","[{""query"": ""Andrew G Barto UMass CSRankings profile"", ""log"": ""search-0.json""}]",No supported exact key found in selected 26 source shards or saved candidates; general web search did not establish an original source row.,,,leave blank,
turing_award_winners.csv,4,"Sutton, Richard",2024,scholar,https://awards.acm.org/award-recipients/sutton_0160594,https://awards.acm.org/award-recipients/sutton_0160594,2026-09-13T23:36:05Z,Canada,2026-09-18T19:32:58.722129+00:00,https://scholar.google.com/citations?user=6m4wv6gAAAAJ,https://scholar.google.com/citations?user=6m4wv6gAAAAJ,Y,Y,2026-09-17,2026-09-17,existing captures; general web discovery,supported,supported_sample,available at retained capture only; not freshly checked,retained success,2026-09-17T02:05:48Z,c2f43d65b7acd85e6103033e11605200aead7595f7d2fbeaa25c8eca04950c98,,https://scholar.google.com/citations?user=6m4wv6gAAAAJ,"Keen, Amii, and University of Alberta; ACM award country Canada; affiliations describe the capture, not necessarily award year.",20,lower bound from captured first page; not total profile size,20,all 20 captured most-cited entries; broader coverage and recent-work assessment unresolved,"Reinforcement learning: An Introduction, 2nd edition | Policy gradient methods for reinforcement learning with function approximation | Learning to predict by the methods of temporal differences | Reinforcement learning: An Introduction, 1st edition",multiple central works represented in sample; full bibliography and recent-work coverage unresolved,no substantial unrelated cluster in the inspected sample,"Alberta/Amii reinforcement learning, temporal difference, options and Sutton/Barto text agree. Preserve different upstream CS Scholar ID; accepted CS identity supported independently by institution and homepage.",,,,,retain,
