roster,name,previous_csrankings_name,csrankings_name,status,legacy_dblp_candidates,legacy_scholar_candidates,reason,institutional_source,roster_dblp_profile,roster_scholar_profile
acm_fellows.csv,"Adar, Eytan",Eytan Adar,Eytan Adar,existing_link_corroborated,Eytan Adar,Eytan Adar,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/a/EytanAdar,https://scholar.google.com/citations?user=4tMapHYAAAAJ
acm_fellows.csv,"Ahn, Gail-Joon",Gail-Joon Ahn,Gail-Joon Ahn,existing_link_corroborated,Gail-Joon Ahn,Gail-Joon Ahn,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/a/GailJoonAhn,https://scholar.google.com/citations?user=_dzO69sAAAAJ
acm_fellows.csv,"Apel, Sven",Sven Apel,Sven Apel,existing_link_corroborated,Sven Apel,Sven Apel,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/a/SvenApel,https://scholar.google.com/citations?user=_4ssMloAAAAJ
acm_fellows.csv,"Bauer, Lujo",Lujo Bauer,Lujo Bauer,existing_link_corroborated,Lujo Bauer,Lujo Bauer,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/32/3440,https://scholar.google.com/citations?user=5cJzDZEAAAAJ
acm_fellows.csv,"Buyya, Rajkumar",Rajkumar Buyya,Rajkumar Buyya,existing_link_corroborated,Rajkumar Buyya,Rajkumar Buyya,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/b/RajkumarBuyya,https://scholar.google.com/citations?user=7xN6JqYAAAAJ
acm_fellows.csv,"Candea, George",George Candea,George Candea,existing_link_corroborated,George Candea,George Candea,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/GeorgeCandea,https://scholar.google.com/citations?user=Yd-SGH8AAAAJ
acm_fellows.csv,"Carloni, Luca P",Luca P. Carloni,Luca P. Carloni,existing_link_corroborated,Luca P. Carloni,Luca P. Carloni,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/68/2644,https://scholar.google.com/citations?user=sEAoh3MAAAAJ
acm_fellows.csv,"Carpendale, Sheelagh",Sheelagh Carpendale,Sheelagh Carpendale,existing_link_corroborated,Sheelagh Carpendale,Sheelagh Carpendale,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/MSheelaghTCarpendale,https://scholar.google.com/citations?user=43LLX2kAAAAJ
acm_fellows.csv,"Chaudhuri, Swarat",Swarat Chaudhuri,Swarat Chaudhuri,existing_link_corroborated,Swarat Chaudhuri,Swarat Chaudhuri,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/37/6100,https://scholar.google.com/citations?user=9j6RBYQAAAAJ
acm_fellows.csv,"Chen, Baoquan",Baoquan Chen,Baoquan Chen,existing_link_corroborated,Baoquan Chen,Baoquan Chen,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/23/4197,https://scholar.google.com/citations?user=iHWtrEAAAAAJ
acm_fellows.csv,"Chen, Deming",Deming Chen,Deming Chen,existing_link_corroborated,Deming Chen,Deming Chen,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/37/1234,https://scholar.google.com/citations?user=A_A_LrsAAAAJ
acm_fellows.csv,"Cheng, Kwang-Ting",Kwang-Ting Cheng,Kwang-Ting Cheng,existing_link_corroborated,Kwang-Ting Cheng,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/c/KwangTingCheng,https://scholar.google.com/citations?user=-SgpaF8AAAAJ
acm_fellows.csv,"Conati, Cristina",Cristina Conati,Cristina Conati,existing_link_corroborated,Cristina Conati,Cristina Conati,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/34/5056,https://scholar.google.com/citations?user=Ytp9oFQAAAAJ
acm_fellows.csv,"Dorigo, Marco",Marco Dorigo,Marco Dorigo,existing_link_corroborated,Marco Dorigo,Marco Dorigo,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/d/MarcoDorigo,https://scholar.google.com/citations?user=PwYT6EMAAAAJ
acm_fellows.csv,"Esparza, Javier",Javier Esparza,Javier Esparza,existing_link_corroborated,Javier Esparza,Javier Esparza,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/e/JEsparza,https://scholar.google.com/citations?user=c9qgPSYAAAAJ
acm_fellows.csv,"Ferragina, Paolo",Paolo Ferragina,Paolo Ferragina,existing_link_corroborated,Paolo Ferragina,Paolo Ferragina,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/f/PaoloFerragina,https://scholar.google.com/citations?user=3EILU3MAAAAJ
acm_fellows.csv,"Heidrich, Wolfgang",Wolfgang Heidrich,Wolfgang Heidrich,existing_link_corroborated,Wolfgang Heidrich,Wolfgang Heidrich,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/h/WolfgangHeidrich,https://scholar.google.com/citations?user=IQSbom0AAAAJ
acm_fellows.csv,"Huang, Zi Helen",Zi Helen Huang,Zi Helen Huang,existing_link_corroborated,Zi Helen Huang,,Historical identifier association corroborates the stored link; the old DBLP mapping is not independent identity proof.,,https://dblp.org/pid/70/6862,https://scholar.google.com/citations?user=iAWMsgEAAAAJ
