roster,name,year,dblp_profile_quality,category,review_requested,reason,inspection_scope,acm_fellow_profile,dblp_profile,google_scholar_profile,acm_citation,dblp_name,dblp_person_information,captured_publication_count,matching_scholar_titles,scholar_sample_count,evidence_titles,dblp_fetched_at,dblp_capture_sha256,dblp_capture_path,acm_fetched_at,reviewed_at,rejected_dblp_profile,previous_category,previous_reason,resolved_at,previous_quality
acm_fellows.csv,Adam Wierman,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Prior ACM-grounded identity/publication review plus automated DBLP metadata and title corroboration.,https://awards.acm.org/award-recipients/wierman_3144364,https://dblp.org/pid/56/4447,https://scholar.google.com/citations?user=4OvOdSgAAAAJ,"For contributions to online algorithms, scheduling theory, and applications to sustainable computing.",Adam Wierman,"affiliation: California Institute of Technology, Pasadena, CA, USA",433,18,20,"Competitive and Learned Online Algorithms for HVAC Demand Management in Thermal Networks. | Risk-Sensitive Peak-Aware Energy Scheduling: Competitive and Learning-Augmented Algorithms. | Data Center Voltage Ride-Through: Emerging Challenges and Opportunities. | Robust Gymnasium: A Unified Modular Benchmark for Robust Reinforcement Learning. | Online Conversion with Switching Costs: Robust and Learning-Augmented Algorithms. | Robust Learning for Smoothed Online Convex Optimization with Feedback Delay. | Interface Networks for Failure Localization in Power Systems. | Information Aggregation for Constrained Online Control. | Localization & Mitigation of Cascading Failures in Power Systems, Part II: Localization. | Failure Localization in Power Systems via Tree Partitions. | Greening multi-tenant data center demand response. | Overcoming the Limitations of Utility Design for Multiagent Systems. | A revealed preference approach to computational complexity in economics. | Classifying scheduling policies with respect to unfairness in an M/GI/1. | Asymptotic convergence of scheduling policies with respect to slowdown. | Understanding the slowdown of large jobs in an M/GI/1 system.",2026-09-17T17:46:15Z,c7973209fd6b5cb785a8b0f5805b34e301b6904e11fd73401bee9f5c9b3f89bf,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/65671f39164f29c21ff6bb1dbb7c98c5c840d5669a591b8e756e3ffa61f27692-1789667175526050000.html,2026-09-13T15:04:27Z,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Aggelos Kiayias,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Prior ACM-grounded identity/publication review plus automated DBLP metadata and title corroboration.,https://awards.acm.org/award-recipients/kiayias_5240130,https://dblp.org/pid/47/3682,https://scholar.google.com/citations?user=P_L_vZAAAAAJ,For contributions to the principles and practice of cyber security and cryptography,Aggelos Kiayias,"affiliation: University of Edinburgh, UK",413,20,20,"Permissionless Consensus from a Common Random String. | Fast Difficulty Adjustment in Proof-of-Work Consensus. | Beyond Blockchain Ballots: UC-Secure Layer-2 Voting and Governance. | PARScoin: A Privacy-preserving, Auditable, and Regulation-friendly Stablecoin. | SoK: Blockchain Governance. | Fast Isomorphic State Channels. | Public-Key Cryptography - PKC 2020 - 23rd IACR International Conference on Practice and Theory of Public-Key Cryptography, Edinburgh, UK, May 4-7, 2020, Proceedings, Part II. | A Composable Security Treatment of the Lightning Network. | Low-Level Attacks in Bitcoin Wallets. | Communication Optimal Tardos-Based Asymmetric Fingerprinting. | On the Security of Key Extraction from Measuring Physical Quantities. | Tracing and Revoking Pirate Rebroadcasts. | Efficient Cryptographic Protocols Realizing E-Markets with Price Discrimination. | Secure Games with Polynomial Expressions. | Acceptor-Definable Counting Classes. | Polynomial Reconstruction Based Cryptography.",2026-09-17T17:46:23Z,e3280ed28296763e699774ab6259edd66efa626bc537c25092e23538c592b27c,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/fa30ad36a78ae4d892e285077e468c6b1f34c229e9ca73bf52e14800fdf24149-1789667184085176000.html,2026-09-13T15:07:02Z,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Alessandro Orso,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Prior ACM-grounded identity/publication review plus automated DBLP metadata and title corroboration.,https://awards.acm.org/award-recipients/orso_4953717,https://dblp.org/pid/35/805,https://scholar.google.com/citations?user=wCfYkMkAAAAJ,For contributions in developing novel and impactful techniques for software testing and debugging,Alessandro Orso,"affiliation: Georgia Institute of Technology, Atlanta GA, USA",192,19,20,"Hamster: A Large-Scale Study and Characterization of Developer-Written Tests. | AutoRestTest at the SBFT 2026 Tool Competition. | Sakura: An Approach for Generating Complex Tests from Natural Language Test Descriptions. | Learning Defect Prediction from Unrealistic Data. | Automated Test Generation for REST APIs: Replication Package. | Robustness of neural networks: a probabilistic and practical approach. | Proceedings of the 39th International Conference on Software Engineering, ICSE 2017, Buenos Aires, Argentina, May 20-28, 2017. | MintHint: automated synthesis of repair hints. | BugRedux: Reproducing field failures for in-house debugging. | A cross-browser web application testing tool. | Automated identification of parameter mismatches in web applications. | Eclipse technology eXchange (ETX) workshop. | A Differencing Algorithm for Object-Oriented Programs. | Automated Testing of Classes. | Introducing Formal Specification Methods in Industrial Practice. | Customizable notations for kernel formalisms.",2026-09-17T17:46:30Z,688d5a856a2601284b21f19c8fa63314d5fc9bbfe052df0d943c701ab70f6894,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/0c4f3554a58fef485ecfb61eda96eed5a3037a4a59ca1073929f74684e11945c-1789667191004205000.html,2026-09-13T15:07:28Z,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Alistair M Moffat,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Scholar-title corroboration plus individual review of lexical topic-screen candidates against ACM context.,https://awards.acm.org/award-recipients/moffat_1885573,https://dblp.org/pid/m/AlistairMoffat,https://scholar.google.com/citations?user=r3xSME0AAAAJ,For contributions to the implementation and evaluation of search engines.,Alistair Moffat,"affiliation: University of Melbourne, School of Computing and Information Systems, Australia",352,19,20,"Conditioning and Stability in Process Discovery. | FaE: A Resource of Logs, Profiles, and Rankings for Academic Expert Finding. | Does Form Affect Function? An Extended Study of LLM Re-Ranking Behavior. | Tradeoff Options for Bipartite Graph Partitioning. | Bootstrapping Generalization of Process Models Discovered From Event Data. | Desirable Properties for Diversity and Truncated Effectiveness Metrics. | UQV100: A Test Collection with Query Variability. | Continuous Measurement Scales in Human Evaluation of Machine Translation. | Has adhoc retrieval improved since 1994? | Melbourne University at the 2006 Terabyte Track. | Impact transformation: effective and efficient web retrieval. | SIGIR '98: Proceedings of the 21st Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, August 24-28 1998, Melbourne, Australia. | Self-Indexing Inverted Files. | A Priority Queue for the All Pairs Shortest Path Problem. | The effect of paged memory upon algorithm performance: short note. | An O(n² log log log n) Expected Time Algorithm for the all Shortest Distance Problem.",2026-09-17T17:46:37Z,60055a23cf4738e2aff287a41d8c57a3c82f4cf78e7af57439f20c5b5c4a9a41,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/b8f940424d25d51272adb8afe0d7168d8735149a19c62c2899ced1dab605c7ea-1789667197840536000.html,2026-09-13T15:10:57Z,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Angela Bonifati,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Prior ACM-grounded identity/publication review plus automated DBLP metadata and title corroboration.,https://awards.acm.org/award-recipients/bonifati_4027339,https://dblp.org/pid/b/ABonifati,https://scholar.google.com/citations?user=0RdtBlUAAAAJ,For contributions to the foundations of graph databases and data integration.,Angela Bonifati,"affiliation: University of Lyon, France award (2023): TCDE Impact Award",254,20,20,"Indexing Techniques for Graph Reachability Queries. | EPL: The event processing language for streaming data. | PACMMOD V4, N1 (SIGMOD), February 2026 Editorial. | Diversity, Equity and Inclusion Activities in DatabaseConferences: A 2024 Report. | Transforming RDF Graphs to Property Graphs using Standardized Schemas. | Transforming Property Graphs. | From Large Language Models to Databases and Back: A discussion on research and education. | Valentine: Evaluating Matching Techniques for Dataset Discovery. | Valentine: Evaluating Matching Techniques for Dataset Discovery. | A Survey of Benchmarks for Graph-Processing Systems. | Query Reformulation in PDMS Based on Social Relevance. | The XQueC Project: Compressing and Querying XML. | Seventh ACM International Workshop on Web Information and Data Management (WIDM 2005), Bremen, Germany, November 4, 2005. | Automatic Extraction of Database Scheme Semantic Properties Using Knowledge Discovery Techniques. | Utilizzo della logica descrittiva per l'estrazione di proprietà terminologiche e strutturali complesse. | Discovering description logic assertions from database schemes.",2026-09-17T17:46:45Z,3ec465aad44a024263be9c7c15738d59eaf5e66183751d37908da5c1f0581e9e,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/94e120bb0c1c6d7a3e1f7209eddad743b97bcd2ca4bfa28dd58a1fd42c7f5b82-1789667206088609000.html,2026-09-13T15:14:02Z,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Antonio Torralba,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Scholar-title corroboration plus individual review of lexical topic-screen candidates against ACM context.,https://awards.acm.org/award-recipients/torralba_2191086,https://dblp.org/pid/t/AntonioBTorralba,https://scholar.google.com/citations?user=8cxDHS4AAAAJ,"For contributions to computer vision, including novel datasets, scene recognition and context understanding.",Antonio Torralba 0001,"affiliation: MIT, Computer Science and Artificial Intelligence Laboratory, Cambridge, MA, USA",503,19,20,VirtualEnv: A Platform for Embodied AI Research. | WiReSens Toolkit: An Open-source Platform towards Accessible Wireless Tactile Sensing. | VirtualEnv: A Platform for Embodied AI Research. | Automated Detection of Visual Attribute Reliance with a Self-Reflective Agent. | DreamTeacher: Pretraining Image Backbones with Deep Generative Models. | Totems: Physical Objects for Verifying Visual Integrity. | Scaling up instance annotation via label propagation. | Diverse Image Generation via Self-Conditioned GANs. | Seeing What a GAN Cannot Generate. | RF-based 3D skeletons. | Anticipating Visual Representations from Unlabeled Video. | Assessing the Quality of Actions. | Part and appearance sharing: Recursive Compositional Models for multi-view. | Statistical Context Priming for Object Detection. | Contextual Modulation of Target Saliency. | Semantic Organization of Scenes using Discriminant Structural Templates.,2026-09-17T17:47:06Z,471c88ad1b5492531fb147779302eeabde774b242e5c81d43b04ae28d5ff9858,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/84c73b1bb8ea7088d3d28f20f1109f5075e42691362612d072819d1e78268fe1-1789667226905580000.html,2026-09-13T15:19:49Z,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Ariel Procaccia,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Scholar-title corroboration plus individual review of lexical topic-screen candidates against ACM context.,https://awards.acm.org/award-recipients/procaccia_1176772,https://dblp.org/pid/p/ArielDProcaccia,https://scholar.google.com/citations?user=8ZpV-lkAAAAJ,"For contributions to AI, algorithms, and society, including foundational work and practical impact.",Ariel D. Procaccia,"affiliation: Harvard University, Cambridge, USA affiliation (former): Carnegie Mellon University, Pittsburgh, USA",330,20,20,"In This Apportionment Lottery, the House Always Wins. | Generative Social Choice. | Question the Questions: Auditing Representation in Online Deliberative Processes. | The Proportional Veto Principle for Approval Ballots. | Policy Aggregation. | The Fluid Mechanics of Liquid Democracy. | The Unreasonable Fairness of Maximum Nash Welfare. | Choosing How to Choose Papers. | Subset Selection via Implicit Utilitarian Voting. | Editor's introduction. | Externalities in Cake Cutting. | Towards More Expressive Cake Cutting. | Strategyproof Approximation Mechanisms for Location on Networks. | The Communication Complexity of Coalition Formation Among Autonomous Agents. | Learning to Identify Winning Coalitions in the PAC model. | Extensive-Form Argumentation Games.",2026-09-17T17:47:14Z,eb3580c2b2ee36b3658ec123ca075426d5a26e7b2b73fb2b6d84e1d926e5b654,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/048d3bac4c910746d91a18794a7760c25b9f472026e29a1fb4d42011073f37f4-1789667234806237000.html,2026-09-13T15:23:50.255352+00:00,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Athina Markopoulou,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Individual comparison of ACM context and newest/middle/oldest DBLP titles; flagged cases additionally inspected across the bibliography and metadata.,https://awards.acm.org/award-recipients/markopoulou_1561968,https://dblp.org/pid/82/5866,,For contributions to internet measurement and privacy enhancing technologies.,Athina Markopoulou,,174,0,0,DuoShapley: Adaptive and Scalable Shapley Value Approximation for Federated Learning. | VR ProfiLens: User Profiling Risks in Consumer Virtual Reality Apps. | Actions Speak Louder Than Chats: Investigating AI Chatbot Age Gating. | BLINDSPOT: Enabling Bystander-Controlled Privacy Signaling for Camera-Enabled Devices. | GaitGuard: Towards Private Gait in Mixed Reality. | The TV is Smart and Full of Trackers: Measuring Smart TV Advertising and Tracking. | Recovery of Packet Losses in Wireless Broadcast for Real-Time Applications. | On the Decomposition of Cell Phone Activity Patterns and their Connection with Urban Ecology. | Instantly decodable network codes for real-time applications. | On the Feasibility of Precoding-Based Network Alignment for Three Unicast Sessions. | Walking on a Graph with a Magnifying Glass. | Active Topology Inference using Network Coding. | Loss Tomography in General Topologies with Network Coding. | Dynamic Traffic Conditions for a DiffServ Domain Using FeedBack and Topology Techniques. | Hierarchical reliable multicast: performance analysis and placement of proxies. | Optimal grouping of components in a distributed system.,2026-09-17T17:47:21Z,62e7734bd8b42319f6da45f0e5996a25da69cb9e71fa34b986c0c523466fa1d3,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/a5e08e683df89c2e35281470e9ba858e950df785f62ed1e0aceaf7b73f2fe8f2-1789667241658188000.html,2026-09-13T15:23:57.134990+00:00,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Baoquan Chen,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Prior ACM-grounded identity/publication review plus automated DBLP metadata and title corroboration.,https://awards.acm.org/award-recipients/chen_C102676,https://dblp.org/pid/23/4197,https://scholar.google.com/citations?user=iHWtrEAAAAAJ,"For contributions to large-scale scene reconstruction, discrete geometry processing, and shape design for manufacturing",Baoquan Chen,,345,19,20,Visual permeability-driven generation of support-free stochastic porous structures. | STAGED: Stress-Tensor Assisted Global-local-global solver for interactive Elastic shape Design. | InstGPMap: Real-Time Instance-Level Global Prior Mapping via Historical Predictions Fusion. | Gaussian Fluids: A Grid-Free Fluid Solver based on Gaussian Spatial Representation. | SAI3D: Segment any Instance in 3D Scenes. | Generalized Label-Efficient 3D Scene Parsing via Hierarchical Feature Aligned Pre-Training and Region-Aware Fine-tuning. | Solid-fluid interaction with surface-tension-dominant contact. | A Recursive Subdivision Technique for Sampling Multi-class Scatterplots. | Unpaired Point Cloud Completion on Real Scans using Adversarial Training. | DifNet: Semantic Segmentation by Diffusion Networks. | Synthesizing Training Images for Boosting Human 3D Pose Estimation. | Analyzing growing plants from 4D point cloud data. | HDR VolVis: High Dynamic Range Volume Visualization. | High-Quality Volume Rendering Using Texture Mapping Hardware. | Adaptive Perspective Ray Casting. | Multiresolution tetrahedral framework for visualizing regular volume data.,2026-09-17T17:47:29Z,3e68c0c5ffdbf7e2f283b78f66873ed3be966df2d364fb45331fc8a0b7a8e44e,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/d19a34ec1b10e4450eca47af95d388762cd2bf86cd1d8f8bf8570cb554176614-1789667249891013000.html,2026-09-13T15:24:03.823598+00:00,2026-09-17T21:50:15.757532-04:00,,,,,
acm_fellows.csv,Cristina Conati,2025,Y,reasonable_profile,N,The reviewed identity and publication evidence is consistent with the ACM-recognized research or service; no substantial conflict or obvious incompleteness was established.,Prior ACM-grounded identity/publication review plus automated DBLP metadata and title corroboration.,https://awards.acm.org/award-recipients/conati_CR39233,https://dblp.org/pid/34/5056,https://scholar.google.com/citations?user=Ytp9oFQAAAAJ,For contributions to research in Human-AI interaction and AI-driven personalization,Cristina Conati,"affiliation: University of British Columbia, Canada",207,16,20,Designing and Personalising Hybrid Health Explanations for Lay Users. | Gaze for Dyads & Blinks for Triads: Task Engagement Predictors in Free-Flow VR Interactions. | From 'Nice Try' to 'Nice Throw': Exploring Counterfactual Explanations as Corrective Feedback for Javelin Throwing. | Relevant Irrelevance: Generating Alterfactual Explanations for Image Classifiers. | Predicting Co-occurring Emotions in MetaTutor when Combining Eye-Tracking and Interaction Data from Separate User Studies. | Classifeye: Classification of Personal Characteristics Based on Eye Tracking Data in a Recommender System Interface. | A gaze-based experimenter platform for designing and evaluating adaptive interventions in information visualizations. | Leveraging Pupil Dilation Measures for Understanding Users' Cognitive Load During Visualization Processing. | Highlighting interventions and user differences: informing adaptive information visualization support. | User-adaptive information visualization: using eye gaze data to infer visualization tasks and user cognitive abilities. | Bayesian Student Modeling. | Unsupervised and supervised machine learning in user modeling for intelligent learning environments. | Toward Comprehensive Student Models: Modeling Meta-cognitive Skills and Affective States in ITS. | Encoding Information through Spatial Relations. | Accessing Information through Graphics. | Interest Driven Exploration of an Information Space.,2026-09-17T17:47:37Z,e83551ce4f3d777c597a7f00324b9487a628f42e17c65074f1a3bd9446cf3a0c,bigcows-crawler/.cache/dblp-refresh-2026-09-17-132635/safari/captures/6bf7672d4992758bda0bbffdcf78a28f5559652ab08634237e52a4fb2367618e-1789667257710532000.html,2026-09-13T15:24:10.653576+00:00,2026-09-17T21:50:15.757532-04:00,,,,,
