name,year,previous_profile,google_scholar_profile,outcome,fetched_at_utc,http_status,scholar_name,affiliation,capture_sha256,note,source
Charles H. Bennett,2025,https://scholar.google.com/citations?user=mkjGmJEAAAAJ,https://scholar.google.com/citations?user=mkjGmJEAAAAJ,accepted,2026-09-17T02:05:29Z,200,Charles H. Bennett,"Fellow, IBM Research Division",61af5299c5ea6752dc59761948ac02439763ff305cc63697fb9398ee4d2274aa,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Teleporting an unknown quantum state via dual classical and Einstein-Podolsky-Rosen channels; Quantum cryptography: Public key distribution and coin tossing; Communication via one-and two-particle operators on Einstein-Podolsky-Rosen states.",https://amturing.acm.org/award_winners/bennett_1202470.cfm
Gilles Brassard,2025,https://scholar.google.com/citations?user=Rh7_srgAAAAJ,https://scholar.google.com/citations?user=Rh7_srgAAAAJ,accepted,2026-09-17T02:05:35Z,200,Gilles Brassard,"Professor of computer science, Université de Montréal",3e4fe557021dfd3616cb398b2b87fbeee160671d7edb29f0c4aafabe9473029f,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Teleporting an unknown quantum state via dual classical and Einstein-Podolsky-Rosen channels; Quantum cryptography: Public key distribution and coin tossing; Purification of noisy entanglement and faithful teleportation via noisy channels.",https://amturing.acm.org/award_winners/brassard_uj34503.cfm
Andrew Barto,2024,https://scholar.google.com/citations?user=CMIgrCgAAAAJ,https://scholar.google.com/citations?user=CMIgrCgAAAAJ,accepted,2026-09-17T02:05:41Z,200,Andrew Barto,University of Massachusetts Amherst,20e408bd48ea23fd56493679122b869c623476631f118102ac6597f5bba485f4,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Reinforcement learning: An introduction; Introduction to reinforcement learning; Neuronlike adaptive elements that can solve difficult learning control problems.",https://awards.acm.org/award-recipients/barto_9471663
Richard Sutton,2024,https://scholar.google.com/citations?user=6m4wv6gAAAAJ,https://scholar.google.com/citations?user=6m4wv6gAAAAJ,accepted,2026-09-17T02:05:48Z,200,Richard S. Sutton,"Keen, Amii, and University of Alberta",c2f43d65b7acd85e6103033e11605200aead7595f7d2fbeaa25c8eca04950c98,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Reinforcement learning: An Introduction, 2nd edition; Policy gradient methods for reinforcement learning with function approximation; Learning to predict by the methods of temporal differences.",https://awards.acm.org/award-recipients/sutton_0160594
Avi Wigderson,2023,,,no_verified_profile,,,,,,No sufficiently supported profile URL found by general web search and Scholar-site search.,
Robert Melancton Metcalfe,2022,https://scholar.google.com/citations?user=EKGzIBYAAAAJ,https://scholar.google.com/citations?user=EKGzIBYAAAAJ,accepted,2026-09-17T02:05:55Z,200,Robert Metcalfe,The University of Texas at Austin,ea7f638f4e5cb33290765ac2e569fd116fa21f3f1835bf5f304c94445d5a684a,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Ethernet: Distributed packet switching for local computer networks; Reverse path forwarding of broadcast packets; Metcalfe's law after 40 years of ethernet.",https://awards.acm.org/award-recipients/metcalfe_3968158
Jack Dongarra,2021,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,accepted,2026-09-17T02:06:01Z,200,Jack Dongarra,University of Tennessee; Oak Ridge National Laboratory; University of Manchester,f3faf756db6dd4095e19ca58ffb0a325b6cb2e82327b97bdac222d7174cc0a41,"Identity supported by Scholar name, affiliation where available, and characteristic publications: LAPACK Users’ Guide, SIAM, Philadelphia, 1999; LAPACK Users' Guide, Third Edition; LAPACK Users' Guide, Second Edition. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/dongarra_3406337
Alfred V Aho,2020,https://scholar.google.com/citations?user=gb2r2ssAAAAJ,https://scholar.google.com/citations?user=gb2r2ssAAAAJ,accepted,2026-09-17T02:06:07Z,200,Alfred Aho,"Lawrence Gussman Professor of Computer Science, Columbia University",3a403ddaa9ddf42a0204bf01c7379302fe5ab98255fa57d02f0df1c1e0021553,"Identity supported by Scholar name, affiliation where available, and characteristic publications: The design and analysis of computer algorithms; Data structures and algorithms; Efficient string matching: an aid to bibliographic search. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/aho_1046358
Jeffrey D Ullman,2020,https://scholar.google.com/citations?user=wUJ2bXgAAAAJ,https://scholar.google.com/citations?user=wUJ2bXgAAAAJ,accepted,2026-09-17T02:06:13Z,200,Jeffrey Ullman,"Professor of Computer Science, Stanford University",d6547d5148bcef7353b732ff87dfc5b2a6a64413b13905c0643593882c7911b3,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Introduction to Automata Theory, Languages, and Computation; Principles of database systems; Data structures and algorithms. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/ullman_1054360
Edwin Catmull,2019,https://scholar.google.com/citations?user=qb5SK0QAAAAJ,https://scholar.google.com/citations?user=qb5SK0QAAAAJ,accepted,2026-09-17T02:06:21Z,200,Edwin Catmull,"Pixar, Disney, retired",973185da4e5e7f7a7248d529cf39d45fd9a5bc9f3ba53ad7ead5ff9600f3c996,"Identity supported by Scholar name, affiliation where available, and characteristic publications: Creativity, inc; How Pixar fosters collective creativity; 3-D transformations of images in scanline order. Name and affiliation unchanged from the reviewed ACM Fellows capture.",https://awards.acm.org/award-recipients/catmull_1244219
