Index,Last Name,Given Name,Year,Location,Citation,ACM Fellow Profile,DBLP profile,Google Scholar Profile,Affiliation,Interests
1,Metcalfe,Robert Melancton,2022,USA,"For the invention, standardization, and commercialization of Ethernet.",https://awards.acm.org/award-recipients/metcalfe_3968158,https://dblp.org/pid/69/829,https://scholar.google.com/citations?user=EKGzIBYAAAAJ&h,The University of Texas at Austin,Innovation and Entrepreneurship Internet
2,Dongarra,Jack,2021,USA,For his pioneering contributions to numerical algorithms and libraries that enabled high performance computational software to keep pace with exponential hardware improvements for over four decades,https://awards.acm.org/award-recipients/dongarra_3406337,https://dblp.org/pid/d/JackDongarra,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,University of Tennessee; Oak Ridge National Laboratory; University of Manchester,scientific parallel computing
3,Aho,Alfred V,2020,USA,"For fundamental algorithms and theory underlying programming language implementation and for synthesizing these results and those of others in their highly influential books, which educated generations of computer scientists.
",https://awards.acm.org/award-recipients/aho_1046358,https://dblp.org/pid/a/AVAho,https://scholar.google.com/citations?hl=en&user=gb2r2ssAAAAJ,"Lawrence Gussman Professor of Computer Science, Columbia University",Programming Languages and Compilers Theory Software Quantum computing
4,Ullman,Jeffrey D,2020,USA,"For fundamental algorithms and theory underlying programming language implementation and for synthesizing these results and those of others in their highly influential books, which educated generations of computer scientists.
",https://awards.acm.org/award-recipients/ullman_1054360,https://dblp.org/pid/u/JeffreyDUllman,https://scholar.google.com/citations?hl=en&user=wUJ2bXgAAAAJ,"Professor of Computer Science, Stanford University",Database Systems Data Mining
5,Catmull,Edwin,2019,USA,"For fundamental contributions to 3D computer graphics, and the impact of computer-generated imagery (CGI) in filmmaking and other applications.",https://awards.acm.org/award-recipients/catmull_1244219,https://dblp.org/pid/c/EdwinECatmull,https://scholar.google.com/citations?user=qb5SK0QAAAAJ,"Pixar, Disney, retired",animation creativity management
6,Hanrahan,Pat,2019,USA,"For fundamental contributions to 3D computer graphics, and the impact of computer-generated
imagery (CGI) in filmmaking and other applications.",https://awards.acm.org/award-recipients/hanrahan_4652251,https://dblp.org/pid/h/PatHanrahan,https://scholar.google.com/citations?user=RzEnQmgAAAAJ,Stanford University,computer graphics visualization parallel computing
7,Hinton,Geoffrey E,2018,Canada,"For conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.
",https://awards.acm.org/award-recipients/hinton_4791679,https://dblp.org/pid/10/3248,https://scholar.google.com/citations?hl=en&user=JicYPdAAAAAJ,"Emeritus Prof. Comp Sci, U.Toronto & Engineering Fellow, Google", machine learning psychology artificial intelligence cognitive science computer science
8,LeCun,Yann,2018,USA,"For conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.
",https://awards.acm.org/award-recipients/lecun_6017366,https://dblp.org/pid/l/YannLeCun,https://scholar.google.com/citations?user=WLN3QrAAAAAJ,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York …",AI machine learning computer vision robotics image compression
9,Bengio,Yoshua,2018,Canada,"For conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.
",https://awards.acm.org/award-recipients/bengio_3406375,https://dblp.org/pid/56/953,https://scholar.google.com/citations?user=kukA0LcAAAAJ,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Machine learning deep learning artificial intelligence
10,Patterson,David,2017,USA,"For pioneering a systematic, quantitative approach to the design and evaluation of computer architectures with enduring impact on the microprocessor industry.",https://awards.acm.org/award-recipients/patterson_2316693,https://dblp.org/pid/15/2345-2,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,"Professor of Computer Science, UC Berkeley",computer systems
11,Hennessy,John L,2017,USA,"For pioneering a systematic, quantitative approach to the design and evaluation of computer architectures with enduring impact on the microprocessor industry.",https://awards.acm.org/award-recipients/hennessy_1426931,https://dblp.org/pid/h/JohnLHennessy,https://scholar.google.com/citations?user=WqUMGMsAAAAJ,Stanford University,computer architecture computer systems
12,Berners-Lee,Tim,2016,United Kingdom,"For inventing the World Wide Web, the first web browser, and the fundamental protocols and algorithms allowing the Web to scale. ",https://awards.acm.org/award-recipients/berners-lee_8087960,https://dblp.org/pid/b/TimBernersLee,,,[]
13,Hellman,Martin,2015,USA,"For inventing and promulgating both asymmetric public-key cryptography, including its application to digital signatures, and a practical cryptographic key-exchange method.",https://awards.acm.org/award-recipients/hellman_4055781,https://dblp.org/pid/h/MartinEHellman,,,[]
14,Diffie,Whitfield,2015,USA,"For inventing and promulgating both asymmetric public-key cryptography, including its application to digital signatures, and a practical cryptographic key-exchange method.",https://awards.acm.org/award-recipients/diffie_8371646,https://dblp.org/pid/93/2898,,,[]
15,Stonebraker,Michael,2014,USA,For fundamental contributions to the concepts and practices underlying modern database systems.,https://awards.acm.org/award-recipients/stonebraker_1172121,https://dblp.org/pid/s/MichaelStonebraker,,,[]
16,Lamport,Leslie,2013,USA,"For fundamental contributions to the theory and practice of distributed and concurrent systems, notably the invention of concepts such as causality and logical clocks, safety and liveness, replicated state machines, and sequential consistency. ",https://awards.acm.org/award-recipients/lamport_1205376,https://dblp.org/pid/l/LeslieLamport,https://scholar.google.com/citations?user=uG3icVgAAAAJ,,
17,Goldwasser,Shafi,2012,USA,"Along with Silvio Micali, for transformative work that laid the complexity-theoretic foundations for the science of cryptography, and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory.",https://awards.acm.org/award-recipients/goldwasser_8627889,https://dblp.org/pid/g/ShafiGoldwasser,,,[]
18,Micali,Silvio,2012,USA,"Along with Shafi Goldwasser, for transformative work that laid the complexity-theoretic foundations for the science of cryptography, and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory.",https://awards.acm.org/award-recipients/micali_9954407,https://dblp.org/pid/49/5661,,,[]
19,Pearl,Judea,2011,USA,For fundamental contributions to artificial intelligence through the development of a calculus for probabilistic and causal reasoning.,https://awards.acm.org/award-recipients/pearl_2658896,https://dblp.org/pid/p/JudeaPearl,https://scholar.google.com/citations?user=bAipNH8AAAAJ,"Professor of Computer Science, University of California, Los Angeles",causality artificial intelligence structural equations counterfactuals
20,Valiant,Leslie G,2010,USA,"For transformative contributions to the theory of computation, including the theory of probably approximately correct (PAC) learning, the complexity of enumeration and of algebraic computation, and the theory of parallel and distributed computing.",https://awards.acm.org/award-recipients/valiant_2612174,https://dblp.org/pid/v/LeslieGValiant,https://scholar.google.com/citations?user=H509xdsAAAAJ,,
21,Thacker,Charles P,2009,USA,"For the pioneering design and realization of the first modern personal computer -- the Alto at Xerox PARC -- and seminal inventions and contributions to local area networks (including the Ethernet), multiprocessor workstations, snooping cache coherence protocols, and tablet personal computers. ",https://awards.acm.org/award-recipients/thacker_1336106,https://dblp.org/pid/58/4470,,,[]
22,Liskov,Barbara,2008,USA,"For contributions to practical and theoretical foundations of programming language and system design, especially related to data abstraction, fault tolerance, and distributed computing. ",https://awards.acm.org/award-recipients/liskov_1108679,https://dblp.org/pid/l/BarbaraLiskov,,,[]
23,Emerson,E. Allen,2007,USA,"Together with Edmund Clarke and Joseph Sifakis, for their role in developing Model-Checking into a highly effective verification technology that is widely adopted in the hardware and software industries. ",https://awards.acm.org/award-recipients/emerson_1671460,https://dblp.org/pid/e/EAllenEmerson,https://scholar.google.com/citations?user=kTmc3LAAAAAJ,,
24,Clarke,Edmund,2007,USA,"Together with E. Allen Emerson and Joseph Sifakis, for their role in developing Model-Checking into a highly effective verification technology that is widely adopted in the hardware and software industries. ",https://awards.acm.org/award-recipients/clarke_1167964,https://dblp.org/pid/c/EdmundMClarke,https://scholar.google.com/citations?user=_adL2C8AAAAJ,University Professor Emeritus at Carnegie Mellon University,Formal methods Model Checking
25,Sifakis,Joseph,2007,France,"Together with Edmund Clarke and E. Allen Emerson, for their role in developing Model-Checking into a highly effective verification technology that is widely adopted in the hardware and software industries. ",https://awards.acm.org/award-recipients/sifakis_1701095,https://dblp.org/pid/s/JosephSifakis,https://scholar.google.com/citations?user=8jCwk4EAAAAJ,"Reseracher at Verimag laboratory, Grenoble",software engineering formal methods web services middleware networks
26,Allen,Frances,2006,USA,For pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution. press release,https://awards.acm.org/award-recipients/allen_1012327,https://dblp.org/pid/a/FEAllen,https://scholar.google.com/citations?user=6DN5mXsAAAAJ,St. Francis Hospital & Heart Center,Interventional cardiology
27,Naur,Peter,2005,Denmark,"For fundamental contributions to programming language design and the definition of Algol 60, to compiler design, and to the art and practice of computer programming.",https://awards.acm.org/award-recipients/naur_1024454,https://dblp.org/pid/n/PeterNaur,https://scholar.google.com/citations?user=xJydejAAAAAJ,"Pediatrics Resident, Saint Peter's University Hospital",Pediatrics Pediatric Hematology/Oncology
28,Kahn,Robert E,2004,USA,"For pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking. ",https://awards.acm.org/award-recipients/kahn_4598637,https://dblp.org/pid/85/2295,https://scholar.google.com/citations?user=watx0IAAAAAJ,"Robert E. Kahn Professor of Computer Science and Public Affairs, Princeton University",Computer Security Privacy Tech policy
29,Cerf,Vinton,2004,USA,"For pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking. ",https://awards.acm.org/award-recipients/cerf_1083211,https://dblp.org/pid/c/VintonGCerf,,,[]
30,Kay,Alan,2003,USA,"""For pioneering many of the ideas at the root of contemporary object-oriented programming languages, leading the team that developed Smalltalk, and for fundamental contributions to personal computing."" ",https://awards.acm.org/award-recipients/kay_3972189,https://dblp.org/pid/k/AlanCKay,https://scholar.google.com/citations?user=HTuwJ_EAAAAJ,Allen Institute for Neural Dynamics,neuroscience biophysics neurotechnology
31,Shamir,Adi,2002,Israel,"Together with Leonard M. Adleman and Ronald Rivest, for their ingenious contribution to making public-key cryptography useful in practice.",https://awards.acm.org/award-recipients/shamir_2327856,https://dblp.org/pid/s/AdiShamir,https://scholar.google.com/citations?user=EHLBP20AAAAJ,,
32,Adleman,Leonard M.,2002,USA,"Together with Ronald Rivest and Adi Shamir, for their ingenious contribution to making public-key cryptography useful in practice.",https://awards.acm.org/award-recipients/adleman_7308544,https://dblp.org/pid/a/LeonardMAdleman,,,[]
33,Rivest,Ronald L,2002,USA,"Together with Leonard M. Adleman and Adi Shamir, for their ingenious contribution to making public-key cryptography useful in practice.",https://awards.acm.org/award-recipients/rivest_1403005,https://dblp.org/pid/r/RonaldLRivest,https://scholar.google.com/citations?user=6qE0tdAAAAAJ,MIT Institute Professor,algorithms cryptography voting
34,Nygaard,Kristen,2001,Norway,"With Ole-Johan Dahl, for ideas fundamental to the emergence of object oriented programming, through their design of the programming languages Simula I and Simula 67.",https://amturing.acm.org/keywords/nygaard_5916220.cfm,https://dblp.org/pid/161/6853,,,[]
35,Dahl,Ole-Johan,2001,Norway,"With Kristen Nygaard, for ideas fundamental to the emergence of object oriented programming, through their design of the programming languages Simula I and Simula 67.",https://awards.acm.org/award-recipients/dahl_6917600,https://dblp.org/pid/d/OleJohanDahl,,,[]
36,Yao,Andrew C,2000,China,"In recognition of his fundamental contributions to the theory of computation, including the complexity-based theory of pseudorandom number generation, cryptography, and communication complexity.",https://awards.acm.org/award-recipients/yao_1611524,https://dblp.org/pid/y/AndrewChiChihYao,https://scholar.google.com/citations?user=TMimDRoAAAAJ,Carnegie Mellon University PhD Student,Machine Learning
37,Brooks,Frederick,1999,USA,"For landmark contributions to computer architecture, operating systems, and software engineering.",https://awards.acm.org/award-recipients/brooks_1002187,https://dblp.org/pid/b/FrederickPBrooksJr,https://scholar.google.com/citations?user=_h65cfgAAAAJ,"University of North Carolina at Chapel Hill, emeritus",Virtual reality comp. graphics comp. arch software eng. design
38,Gray,Jim,1998,USA,For seminal contributions to database and transaction processing research and technical leadership in system implementation.,https://awards.acm.org/award-recipients/gray_3649936,https://dblp.org/pid/261/3452,https://scholar.google.com/citations?user=Dn4kkYUAAAAJ,"IBM, Tandem, DEC, Microsoft",databases
39,Engelbart,Douglas,1997,USA,For an inspiring vision of the future of interactive computing and the invention of key technologies to help realize this vision.,https://awards.acm.org/award-recipients/engelbart_5078811,https://dblp.org/pid/e/DouglasCEngelbart,https://scholar.google.com/citations?user=AS8m_l4AAAAJ,"SRI, Bootstrap Institute",human-computer interaction interactive computing
40,Pnueli,Amir,1996,USA,For seminal work introducing temporal logic into computing science and for outstanding contributions to program and system verification.,https://awards.acm.org/award-recipients/pnueli_4725172,https://dblp.org/pid/p/AmirPnueli,,,[]
41,Blum,Manuel,1995,USA,In recognition of his contributions to the foundations of computational complexity theory and its application to cryptography and program checking.,https://awards.acm.org/award-recipients/blum_4659082,https://dblp.org/pid/b/ManuelBlum,https://scholar.google.com/citations?user=VK6KPPQAAAAJ,"Department of General Internal Medicine, Inselspital, Bern University Hospital, University of …",General Internal Medicine
42,Feigenbaum,Edward A,1994,USA,"For pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology.",https://awards.acm.org/award-recipients/feigenbaum_4167235,https://dblp.org/pid/f/EdwardAFeigenbaum,,,[]
43,Reddy,Raj,1994,USA,"For pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology.",https://awards.acm.org/award-recipients/reddy_9634208,https://dblp.org/pid/r/RajReddy,https://scholar.google.com/citations?user=6n7rzokAAAAJ,Mississippi State University,Environmental plant physiology including … genomics to phenomics remote sensing crop modeling etc
44,Hartmanis,Juris,1993,USA,"With Richard E. Stearns, in recognition of their seminal paper which established the foundations for the field of computational complexity theory.",https://awards.acm.org/award-recipients/hartmanis_1059260,https://dblp.org/pid/84/5656,,,[]
45,Stearns,Richard E,1993,USA,"With Juris Hartmanis, in recognition of their seminal paper which established the foundations for the field of computational complexity theory.",https://awards.acm.org/award-recipients/stearns_1081900,https://dblp.org/pid/s/RichardEdwinStearns,https://scholar.google.com/citations?user=bjpRR7kAAAAJ,University of Rochester School of Medicine and Dentistry,Fluid and electrolyte disorders
46,Lampson,Butler W,1992,USA,"For contributions to the development of distributed, personal computing environments and the technology for their implementation: workstations, networks, operating systems, programming systems, displays, security and document publishing.",https://awards.acm.org/award-recipients/lampson_1142421,https://dblp.org/pid/l/ButlerWLampson,https://scholar.google.com/citations?user=9eyvm28AAAAJ,"Technical Fellow, Microsoft Research",Cybersecurity computer systems
47,Milner,A J,1991,United Kingdom,"For three distinct and complete achievements: LCF, the mechanization of Scott's Logic of Computable Functions, probably the first theoretically based yet practical tool for machine assisted proof construction;ML, the first language to include polymorphic type inference together with a type-safe exception-handling mechanism;CCS, a general theory of 	concurrency.In addition, he formulated and strongly advanced full abstraction, the study of the relationship between operational and denotational semantics.",https://awards.acm.org/award-recipients/milner_1569367,,https://scholar.google.com/citations?user=1bezk50AAAAJ,Harvard University / Franciscan Children's,
48,Corbato,Fernando J,1990,USA,"For his pioneering work organizing the concepts and leading the development of the general-purpose, large-scale, time-sharing and resource-sharing computer systems, CTSS and Multics.",https://awards.acm.org/award-recipients/corbato_1009471,https://dblp.org/pid/c/FernandoJCorbato,,,[]
49,Kahan,William,1989,USA,"For his fundamental contributions to numerical analysis.  One of the foremost experts on floating-point computations.  Kahan has dedicated himself to ""making the world safe for numerical computations""!",https://awards.acm.org/award-recipients/kahan_1023746,https://dblp.org/pid/k/WilliamKahan,https://scholar.google.com/citations?user=Mjad_6IAAAAJ,"Professor of Pediatrics, Aga Khan University",pediatrics
50,Sutherland,Ivan,1988,USA,"For his pioneering and visionary contributions to computer graphics, starting with Sketchpad, and continuing after. ",https://awards.acm.org/award-recipients/sutherland_3467412,https://dblp.org/pid/35/5713,,,[]
51,Cocke,John,1987,USA,"For significant contributions in the design and theory of compilers,
 the architecture of large systems and the development of reduced instruction set computers (RISC);
 for discovering and systematizing many fundamental transformations now used in optimizing compilers
 including reduction of operator strength, elimination of common subexpressions, register allocation,
 constant propagation, and dead code elimination.
 ",https://awards.acm.org/award-recipients/cocke_2083115,https://dblp.org/pid/c/JohnCocke,,,[]
52,Hopcroft,John E,1986,USA,For fundamental achievements in the design and analysis of algorithms and data structures. ,https://awards.acm.org/award-recipients/hopcroft_1053917,https://dblp.org/pid/h/JohnEHopcroft,https://scholar.google.com/citations?user=4Z6vo5QAAAAJ,Cornell University,
53,Tarjan,Robert E,1986,USA,For fundamental achievements in the design and analysis of algorithms and 	data structures. ,https://awards.acm.org/award-recipients/tarjan_1092048,https://dblp.org/pid/t/RobertEndreTarjan,https://scholar.google.com/citations?user=lazJixIAAAAJ,"Professor of Computer Science, Princeton University",data structures graph algorithms analysis of algorithms
54,Karp,Richard,1985,USA,"For his continuing contributions to the theory of algorithms including the
 	development of efficient algorithms for network flow and other combinatorial optimization problems,
 	the identification of polynomial-time computability with the intuitive notion of algorithmic efficiency,
 	and, most notably, contributions to the theory of NP-completeness.  Karp introduced the now standard
 	methodology for proving problems to be NP-complete which has led to the identification of many
 	theoretical and practical problems as being computationally difficult.
 ",https://awards.acm.org/award-recipients/karp_3256708,https://dblp.org/pid/68/2754,https://scholar.google.com/citations?user=bYp8FsAAAAAJ,"University of California, Berkeley",
